,,,,,,,,,,
12/8/2015,0:53,FP #2S ,FLYING J #739 2409 SO NEW ROAD  ,WACO ,TX  ,136.45,2.23,-304.15,-1, 
12/8/2015,0:53,FP OTH ,FLYING J #739 2409 SO NEW ROAD  ,WACO ,TX  ,7.26,2.8,-20.34, , 
12/8/2015,0:53,FP TOTAL ,FLYING J #739 2409 SO NEW ROAD  ,WACO ,TX  , , ,-324.49,-1,27105.98
12/8/2015,2:55,FP #2S ,PETRO REMINGTON - FUEL 4230 W US HIGHWAY 24  ,REMINGTON ,IN  ,150.11,2.35,-352.61,-1, 
12/8/2015,2:55,FP OTH ,PETRO REMINGTON - FUEL 4230 W US HIGHWAY 24  ,REMINGTON ,IN  ,17.44,2.86,-49.87, , 
12/8/2015,2:55,FP Discount ,PETRO REMINGTON - FUEL 4230 W US HIGHWAY 24  ,REMINGTON ,IN  , , ,89.32, , 
12/8/2015,2:55,FP TOTAL ,PETRO REMINGTON - FUEL 4230 W US HIGHWAY 24  ,REMINGTON ,IN  , , ,-313.16,-1,26791.82
12/8/2015,3:05,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,131.51,2,-262.89,-1, 
12/8/2015,3:05,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,31.04, , 
12/8/2015,3:05,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-231.85,-1,26558.97
12/8/2015,4:02,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,133.78,2.12,-283.48,-1, 
12/8/2015,4:02,FP OTH ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,9.53,2.86,-27.23, , 
12/8/2015,4:02,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,50.44, , 
12/8/2015,4:02,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-260.27,-1,26297.7
12/8/2015,7:48,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,64.38,2.58,-166.03,-1, 
12/8/2015,7:48,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,1.98,3.01,-5.95, , 
12/8/2015,7:48,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,43.65, , 
12/8/2015,7:48,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-128.33,-1,26168.37
12/8/2015,8:14,FP #2S ,TA-BRUNSWICK FUEL 185 DUNGENESS DR  ,BRUNSWICK ,GA  ,99.04,2.28,-225.72,-1, 
12/8/2015,8:14,FP OTH ,TA-BRUNSWICK FUEL 185 DUNGENESS DR  ,BRUNSWICK ,GA  ,5.97,2.85,-17, , 
12/8/2015,8:14,FP Discount ,TA-BRUNSWICK FUEL 185 DUNGENESS DR  ,BRUNSWICK ,GA  , , ,24.56, , 
12/8/2015,8:14,FP TOTAL ,TA-BRUNSWICK FUEL 185 DUNGENESS DR  ,BRUNSWICK ,GA  , , ,-218.16,-1,25949.21
12/8/2015,8:43,FP #2S ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  ,170.22,2.58,-439,-1, 
12/8/2015,8:43,FP OTH ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  ,10.41,2.85,-29.66, , 
12/8/2015,8:43,FP Discount ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,55.49, , 
12/8/2015,8:43,FP TOTAL ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,-413.17,-1,25535.04
12/8/2015,12:14,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,50.06,2.56,-128.11,-1, 
12/8/2015,12:14,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,5.04,2.8,-14.12, , 
12/8/2015,12:14,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,24.13, , 
12/8/2015,12:14,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-118.1,-1,25415.94
12/8/2015,12:55,FP #2S ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  ,83.03,2.47,-205.01,-1, 
12/8/2015,12:55,FP Discount ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,54.63, , 
12/8/2015,12:55,FP TOTAL ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,-150.38,-1,25264.56
12/8/2015,14:16,FP #2S ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,149.54,2.56,-382.68,-1, 
12/8/2015,14:16,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-382.68,-1,24880.88
12/8/2015,15:33,Load ,  , , , , ,12624.5,-4,37501.38
12/8/2015,16:14,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,87.58,2.3,-201.34,-1, 
12/8/2015,16:14,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,40.02, , 
12/8/2015,16:14,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-161.32,-1,37339.06
12/8/2015,19:16,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,126.77,2.56,-324.4,-1, 
12/8/2015,19:16,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,61.1, , 
12/8/2015,19:16,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-263.3,-1,37074.76
12/8/2015,19:29,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,50.08,2.56,-128.16,-1, 
12/8/2015,19:29,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,24.14, , 
12/8/2015,19:29,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-104.02,-1,36969.74
12/8/2015,19:42,FP #2S ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  ,107.56,2.56,-275.25,-1, 
12/8/2015,19:42,FP Discount ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  , , ,35.06, , 
12/8/2015,19:42,FP TOTAL ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  , , ,-240.19,-1,36728.55
12/8/2015,22:48,FP #2S ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  ,139.39,2.3,-320.46,-1, 
12/8/2015,22:48,FP OTH ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  ,5.25,2.86,-15, , 
12/8/2015,22:48,FP Discount ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,59.52, , 
12/8/2015,22:48,FP TOTAL ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,-275.94,-1,36451.61
12/8/2015,23:04,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,50.5,2.56,-129.22,-1, 
12/8/2015,23:04,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,31.82, , 
12/8/2015,23:04,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-97.4,-1,36353.21
12/8/2015,23:19,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,127.41,2.06,-262.34,-1, 
12/8/2015,23:19,FP OTH ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,14.54,2.85,-41.41, , 
12/8/2015,23:19,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,43.7, , 
12/8/2015,23:19,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-260.05,-1,36092.16
