,,,,,,,,,,
12/9/2015,5:17,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,76.29,2.46,-187.59,-1, 
12/9/2015,5:17,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,42.11, , 
12/9/2015,5:17,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-145.48,-1,35945.68
12/9/2015,5:48,FP #2S ,PETRO FUEL #1 I-10 @ HORIZON BLVD EXIT   ,EL PASO ,TX  ,133.03,2.36,-313.82,-1, 
12/9/2015,5:48,FP Discount ,PETRO FUEL #1 I-10 @ HORIZON BLVD EXIT   ,EL PASO ,TX  , , ,63.85, , 
12/9/2015,5:48,FP TOTAL ,PETRO FUEL #1 I-10 @ HORIZON BLVD EXIT   ,EL PASO ,TX  , , ,-249.97,-1,35694.71
12/9/2015,8:22,FP #2S ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  ,55.29,2.22,-122.68,-1, 
12/9/2015,8:22,FP Discount ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  , , ,17.36, , 
12/9/2015,8:22,FP TOTAL ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  , , ,-105.32,-1,35588.39
12/9/2015,9:41,FP #2S ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  ,170.36,2.28,-388.26,-1, 
12/9/2015,9:41,FP OTH ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  ,13.43,2.85,-38.25, , 
12/9/2015,9:41,FP Discount ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,104.26, , 
12/9/2015,9:41,FP TOTAL ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,-322.25,-1,35265.14
12/9/2015,10:27,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,179.38,2.32,-415.99,-1, 
12/9/2015,10:27,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,86.46, , 
12/9/2015,10:27,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-329.53,-1,34934.61
12/9/2015,11:19,Inquiry ,  , , , , ,0,-0.5,34934.11
12/9/2015,11:22,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,99.92,2.58,-257.7,-1, 
12/9/2015,11:22,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,7.05,2.86,-20.16, , 
12/9/2015,11:22,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,41.67, , 
12/9/2015,11:22,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-236.19,-1,34696.92
12/9/2015,11:45,FP #2S ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,168.64,2.56,-431.55,-1, 
12/9/2015,11:45,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,76.9, , 
12/9/2015,11:45,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-354.65,-1,34341.27
12/9/2015,12:46,FP OTH ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  ,11.67,2.85,-33.23,-1, 
12/9/2015,12:46,FP TOTAL ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  , , ,-33.23,-1,34307.04
12/9/2015,13:37,Inquiry ,  , , , , ,0,-0.5,34306.54
12/9/2015,13:43,FP #2S ,PETRO FUEL #27 5821 DENNIS MCCARTHY  ,WHEELER RIDGE ,CA  ,115.87,2.7,-312.74,-1, 
12/9/2015,13:43,FP Discount ,PETRO FUEL #27 5821 DENNIS MCCARTHY  ,WHEELER RIDGE ,CA  , , ,56.78, , 
12/9/2015,13:43,FP TOTAL ,PETRO FUEL #27 5821 DENNIS MCCARTHY  ,WHEELER RIDGE ,CA  , , ,-255.96,-1,34049.58
12/9/2015,14:10,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,5.31,3,-15.92,-1, 
