,,,,,,,,,,
8/17/2015,11:12,FP #2S ,TA-MORRIS 21 ROMINES DR  ,MORRIS ,IL  ,135.74,2.57,-348.71,-1, 
8/17/2015,11:12,FP RFR ,TA-MORRIS 21 ROMINES DR  ,MORRIS ,IL  ,17.61,2.57,-45.24, , 
8/17/2015,11:12,FP Discount ,TA-MORRIS 21 ROMINES DR  ,MORRIS ,IL  , , ,53.21, , 
8/17/2015,11:12,FP TOTAL ,TA-MORRIS 21 ROMINES DR  ,MORRIS ,IL  , , ,-340.74,-1,31226.98
8/17/2015,13:47,FP #2S ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,149.54,3.5,-523.23,-1, 
8/17/2015,13:47,FP OTH ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,6.12,2.95,-18.03, , 
8/17/2015,13:47,FP RFR ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,17.84,3.5,-62.41, , 
8/17/2015,13:47,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,175.9, , 
8/17/2015,13:47,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-427.77,-1,30798.21
8/17/2015,15:48,FP #2S ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,113.88,2.6,-296,-1, 
8/17/2015,15:48,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-296,-1,30501.21
8/17/2015,16:02,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,127.56,2.92,-372.35,-1, 
8/17/2015,16:02,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,5.25,2.86,-15.01, , 
8/17/2015,16:02,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,66.59, , 
8/17/2015,16:02,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-320.77,-1,30179.44
8/17/2015,17:21,Load ,  , , , , ,10319.44,-4,40494.88
8/17/2015,17:24,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,50.07,2.92,-146.16,-1, 
8/17/2015,17:24,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,5.07,2.86,-14.5, , 
8/17/2015,17:24,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,17.1,2.92,-49.93, , 
8/17/2015,17:24,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,35.08, , 
8/17/2015,17:24,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-175.51,-1,40318.37
8/17/2015,17:45,Load ,  , , , , ,1173,-4,41487.37
8/17/2015,20:34,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,131.78,2.52,-331.96,-1, 
8/17/2015,20:34,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,6.96,2.75,-19.13, , 
8/17/2015,20:34,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,8.02,2.52,-20.2, , 
8/17/2015,20:34,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,91.85, , 
8/17/2015,20:34,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-279.44,-1,41206.93
