,,,,,,,,,,
8/18/2015,0:56,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,184.82,2.58,-476.65,-1, 
8/18/2015,0:56,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,69.86, , 
8/18/2015,0:56,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-406.79,-1,40799.14
8/18/2015,1:18,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,100.59,2.68,-269.48,-1, 
8/18/2015,1:18,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,3.74,2.86,-10.69, , 
8/18/2015,1:18,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,8.2,2.68,-21.95, , 
8/18/2015,1:18,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,52.64, , 
8/18/2015,1:18,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-249.48,-1,40548.66
8/18/2015,4:44,FP #2S ,FLYING J #764 650 STAGE COACH DR.  ,ROCK SPRINGS ,WY  ,160.47,2.64,-423.48,-1, 
8/18/2015,4:44,FP OTH ,FLYING J #764 650 STAGE COACH DR.  ,ROCK SPRINGS ,WY  ,7.63,2.8,-21.38, , 
8/18/2015,4:44,FP TOTAL ,FLYING J #764 650 STAGE COACH DR.  ,ROCK SPRINGS ,WY  , , ,-444.86,-1,40102.8
8/18/2015,5:02,FP #2S ,GARLIC FARM CENTER 5920 TRAVEL PARK CIRCLE  ,GILROY ,CA  ,45.94,2.73,-125.37,-1, 
8/18/2015,5:02,FP TOTAL ,GARLIC FARM CENTER 5920 TRAVEL PARK CIRCLE  ,GILROY ,CA  , , ,-125.37,-1,39976.43
8/18/2015,11:16,FP #2S ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  ,139.07,2.93,-407.33,-1, 
8/18/2015,11:16,FP OTH ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  ,4.41,2.85,-12.56, , 
8/18/2015,11:16,FP RFR ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  ,22.04,2.93,-64.55, , 
8/18/2015,11:16,FP Discount ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  , , ,52.69, , 
8/18/2015,11:16,FP TOTAL ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  , , ,-431.75,-1,39543.68
8/18/2015,12:03,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,204.02,2.67,-544.53,-1, 
8/18/2015,12:03,FP OTH ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,7.62,2.85,-21.7, , 
8/18/2015,12:03,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,28.56, , 
8/18/2015,12:03,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-537.67,-1,39005.01
8/18/2015,16:20,Load ,  , , , , ,13856.06,-4,52857.07
8/18/2015,16:38,Load ,  , , , , ,2624.59,-4,55477.66
8/18/2015,21:51,FP #2S ,PETRO REMINGTON - FUEL 4230 W US HIGHWAY 24  ,REMINGTON ,IN  ,20.04,2.37,-47.48,-1, 
8/18/2015,21:51,FP Discount ,PETRO REMINGTON - FUEL 4230 W US HIGHWAY 24  ,REMINGTON ,IN  , , ,4.29, , 
8/18/2015,21:51,FP TOTAL ,PETRO REMINGTON - FUEL 4230 W US HIGHWAY 24  ,REMINGTON ,IN  , , ,-43.19,-1,55437.47
8/18/2015,23:21,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,191.06,2.43,-464.08,-1, 
8/18/2015,23:21,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,4.09,2.86,-11.69, , 
8/18/2015,23:21,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,60.95, , 
8/18/2015,23:21,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-414.82,-1,55021.65
