,,,,,,,,,,
8/20/2015,1:03,FP #2S ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,118.89,2.64,-313.74,-1, 
8/20/2015,1:03,FP Discount ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,68.36, , 
8/20/2015,1:03,FP TOTAL ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,-245.38,-1,44968.16
8/20/2015,5:37,FP #2S ,LOVES #445 5301 NORTH CLIFF AVENUE  ,SIOUX FALLS ,SD  ,58.1,2.48,-144.03,-1, 
8/20/2015,5:37,FP TOTAL ,LOVES #445 5301 NORTH CLIFF AVENUE  ,SIOUX FALLS ,SD  , , ,-144.03,-1,44823.13
8/20/2015,8:00,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,183,2.59,-473.79,-1, 
8/20/2015,8:00,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,7.24,2.85,-20.63, , 
8/20/2015,8:00,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,41.91, , 
8/20/2015,8:00,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-452.51,-1,44369.62
8/20/2015,8:20,FP #2S ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  ,119.08,2.42,-288.05,-1, 
8/20/2015,8:20,FP Discount ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,40.13, , 
8/20/2015,8:20,FP TOTAL ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,-247.92,-1,44120.7
8/20/2015,9:44,FP #2S ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,112.21,2.52,-282.65,-1, 
8/20/2015,9:44,FP RFR ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,10.3,2.52,-25.94, , 
8/20/2015,9:44,FP Discount ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,56.22, , 
8/20/2015,9:44,FP TOTAL ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,-252.37,-1,43867.33
8/20/2015,10:10,FP #2S ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  ,173.97,3.04,-528.68,-1, 
8/20/2015,10:10,FP OTH ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  ,6.15,2.95,-18.15, , 
8/20/2015,10:10,FP RFR ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  ,32.72,3.04,-99.42, , 
8/20/2015,10:10,FP Discount ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,146.54, , 
8/20/2015,10:10,FP TOTAL ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,-499.71,-1,43366.62
8/20/2015,15:07,FP #2S ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  ,122.45,2.6,-318.25,-1, 
8/20/2015,15:07,FP OTH ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  ,7.77,2.85,-22.13, , 
8/20/2015,15:07,FP RFR ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  ,17.59,2.6,-45.72, , 
8/20/2015,15:07,FP Discount ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  , , ,38.23, , 
8/20/2015,15:07,FP TOTAL ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  , , ,-347.87,-1,43017.75
8/20/2015,17:01,Load ,  , , , , ,4764.75,-4,47778.5
8/20/2015,18:38,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,26.95,2.67,-71.93,-1, 
8/20/2015,18:38,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,5.74,2.85,-16.34, , 
8/20/2015,18:38,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,8.68, , 
8/20/2015,18:38,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-79.59,-1,47697.91
8/20/2015,19:03,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,112.44,2.43,-273.11,-1, 
8/20/2015,19:03,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,34.29, , 
8/20/2015,19:03,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-238.82,-1,47458.09
