,,,,,,,,,,
8/21/2015,3:57,FP #2S ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  ,57.21,3.04,-173.87,-1, 
8/21/2015,3:57,FP Discount ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,42.85, , 
8/21/2015,3:57,FP TOTAL ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,-131.02,-1,47326.07
8/21/2015,5:18,FP RFR ,PILOT #319 I-75/CONNECTOR 3 EXIT 328  ,DALTON ,GA  ,12.15,2.48,-30.12,-1, 
8/21/2015,5:18,FP TOTAL ,PILOT #319 I-75/CONNECTOR 3 EXIT 328  ,DALTON ,GA  , , ,-30.12,-1,47294.95
8/21/2015,10:13,FP #2S ,TA-FRANKLIN I-65 & EXIT 61  ,FRANKLIN ,TN  ,124.3,2.48,-308.14,-1, 
8/21/2015,10:13,FP Discount ,TA-FRANKLIN I-65 & EXIT 61  ,FRANKLIN ,TN  , , ,60.53, , 
8/21/2015,10:13,FP TOTAL ,TA-FRANKLIN I-65 & EXIT 61  ,FRANKLIN ,TN  , , ,-247.61,-1,47046.34
8/21/2015,10:18,Check ,  , , , , ,-20000,-3.5,27042.84
8/21/2015,13:43,FP #2S ,PETRO GADSDEN - FUEL #352 1724 W GRAND AVE  ,GADSDEN ,AL  ,153.46,2.36,-362.02,-1, 
8/21/2015,13:43,FP Discount ,PETRO GADSDEN - FUEL #352 1724 W GRAND AVE  ,GADSDEN ,AL  , , ,44.5, , 
8/21/2015,13:43,FP TOTAL ,PETRO GADSDEN - FUEL #352 1724 W GRAND AVE  ,GADSDEN ,AL  , , ,-317.52,-1,26724.32
8/21/2015,16:57,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,142.54,2.43,-346.23,-1, 
8/21/2015,16:57,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,64.14, , 
8/21/2015,16:57,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-282.09,-1,26441.23
8/21/2015,17:08,Load ,  , , , , ,13685,-4,40122.23
8/21/2015,17:56,FP #2S ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,141.97,3.48,-493.93,-1, 
8/21/2015,17:56,FP RFR ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,38.4,3.48,-133.58, , 
8/21/2015,17:56,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,193.35, , 
8/21/2015,17:56,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-434.16,-1,39687.07
8/21/2015,23:13,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,154.6,2.92,-451.29,-1, 
8/21/2015,23:13,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,76.99, , 
8/21/2015,23:13,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-374.3,-1,39311.77
