,,,,,,,,,,
8/23/2015,1:13,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,156.62,2.58,-403.92,-1, 
8/23/2015,1:13,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,67.5, , 
8/23/2015,1:13,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-336.42,-1,36015.25
8/23/2015,2:32,FP #2S ,TA-ELGIN WEST 19N 430 US HWY 20  ,HAMPSHIRE ,IL  ,152.5,2.48,-378.05,-1, 
8/23/2015,2:32,FP OTH ,TA-ELGIN WEST 19N 430 US HWY 20  ,HAMPSHIRE ,IL  ,15.53,2.86,-44.39, , 
8/23/2015,2:32,FP Discount ,TA-ELGIN WEST 19N 430 US HWY 20  ,HAMPSHIRE ,IL  , , ,49.11, , 
8/23/2015,2:32,FP TOTAL ,TA-ELGIN WEST 19N 430 US HWY 20  ,HAMPSHIRE ,IL  , , ,-373.33,-1,35640.92
8/23/2015,2:45,FP RFR ,TA-ELGIN WEST 19N 430 US HWY 20  ,HAMPSHIRE ,IL  ,17.76,2.48,-44.03, , 
8/23/2015,2:45,FP Discount ,TA-ELGIN WEST 19N 430 US HWY 20  ,HAMPSHIRE ,IL  , , ,5.72, , 
8/23/2015,2:45,FP TOTAL ,TA-ELGIN WEST 19N 430 US HWY 20  ,HAMPSHIRE ,IL  , , ,-38.31, ,35602.61
8/23/2015,3:32,FP #2S ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  ,168.35,2.46,-413.97,-1, 
8/23/2015,3:32,FP Discount ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,43.6, , 
8/23/2015,3:32,FP TOTAL ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,-370.37,-1,35231.24
8/23/2015,4:21,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,98.45,2.57,-253.1,-1, 
8/23/2015,4:21,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,11.15,2.86,-31.87, , 
8/23/2015,4:21,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,17.99,2.57,-46.25, , 
8/23/2015,4:21,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,49.02, , 
8/23/2015,4:21,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-282.2,-1,34948.04
8/23/2015,6:48,FP #2S ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  ,69.05,2.53,-174.64,-1, 
8/23/2015,6:48,FP Discount ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  , , ,23.41, , 
