,,,,,,,,,,
8/24/2015,0:37,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,109.08,2.39,-260.59,-1, 
8/24/2015,0:37,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,4.47,2.75,-12.29, , 
8/24/2015,0:37,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,1.89,2.39,-4.51, , 
8/24/2015,0:37,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,70.9, , 
8/24/2015,0:37,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-206.49,-1,33317.82
8/24/2015,1:11,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,128.02,2.43,-310.96,-1, 
8/24/2015,1:11,FP OTH ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,3.66,2.86,-10.45, , 
8/24/2015,1:11,FP RFR ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,15.17,2.43,-36.85, , 
8/24/2015,1:11,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,58.71, , 
8/24/2015,1:11,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-299.55,-1,33017.27
8/24/2015,2:28,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,177.62,2.53,-449.2,-1, 
8/24/2015,2:28,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,67.67, , 
8/24/2015,2:28,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-381.53,-1,32634.74
8/24/2015,6:37,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,72.04,2.52,-181.47,-1, 
8/24/2015,6:37,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,26.65, , 
8/24/2015,6:37,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-154.82,-1,32478.92
8/24/2015,8:41,FP #2S ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  ,109.53,2.9,-317.52,-1, 
8/24/2015,8:41,FP OTH ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  ,3.54,2.96,-10.48, , 
8/24/2015,8:41,FP RFR ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  ,15.72,2.9,-45.56, , 
8/24/2015,8:41,FP Discount ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  , , ,45.7, , 
8/24/2015,8:41,FP TOTAL ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  , , ,-327.86,-1,32150.06
8/24/2015,11:39,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,154.02,2.54,-391.05,-1, 
8/24/2015,11:39,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,60.22, , 
8/24/2015,11:39,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-330.83,-1,31818.23
8/24/2015,13:27,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,16.44,2.86,-47,-1, 
8/24/2015,13:27,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-47,-1,31770.23
8/24/2015,14:43,Load ,  , , , , ,3995,-4,35761.23
8/24/2015,17:38,Load ,  , , , , ,30253.62,-4,66010.85
8/24/2015,18:12,FP #2S ,PETRO FUEL #394 110 SOUTH 1-35  ,PEARSALL ,TX  ,118.62,2.38,-282.21,-1, 
8/24/2015,18:12,FP OTH ,PETRO FUEL #394 110 SOUTH 1-35  ,PEARSALL ,TX  ,9.99,2.75,-27.47, , 
8/24/2015,18:12,FP RFR ,PETRO FUEL #394 110 SOUTH 1-35  ,PEARSALL ,TX  ,12.73,2.38,-30.29, , 
8/24/2015,18:12,FP Discount ,PETRO FUEL #394 110 SOUTH 1-35  ,PEARSALL ,TX  , , ,49.39, , 
8/24/2015,18:12,FP TOTAL ,PETRO FUEL #394 110 SOUTH 1-35  ,PEARSALL ,TX  , , ,-290.58,-1,65719.27
8/24/2015,22:47,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,120.32,2.58,-310.3,-1, 
8/24/2015,22:47,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,30.2, , 
8/24/2015,22:47,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-280.1,-1,65438.17
