,,,,,,,,,,
8/26/2015,4:10,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,112.79,2.42,-272.84,-1, 
8/26/2015,4:10,FP OTH ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,7.3,2.76,-20.14, , 
8/26/2015,4:10,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,37.9, , 
8/26/2015,4:10,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-255.08,-1,47914.89
8/26/2015,4:15,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,169.78,2.53,-429.38,-1, 
8/26/2015,4:15,FP RFR ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,22.82,2.53,-57.72, , 
8/26/2015,4:15,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,81.86, , 
8/26/2015,4:15,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-405.24,-1,47508.65
8/26/2015,7:38,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,81.36,2.53,-205.75,-1, 
8/26/2015,7:38,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,34.58, , 
8/26/2015,7:38,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-171.17,-1,47336.48
8/26/2015,10:47,FP #2S ,PETRO FUEL #19 22566 HWY 215  ,MC CALLA ,AL  ,50.38,2.27,-114.31,-1, 
8/26/2015,10:47,FP Discount ,PETRO FUEL #19 22566 HWY 215  ,MC CALLA ,AL  , , ,17.68, , 
8/26/2015,10:47,FP TOTAL ,PETRO FUEL #19 22566 HWY 215  ,MC CALLA ,AL  , , ,-96.63,-1,47238.85
8/26/2015,11:28,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,45.73,2.3,-105.14,-1, 
8/26/2015,11:28,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,0.97,2.75,-2.67, , 
8/26/2015,11:28,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,4.03,2.3,-9.27, , 
8/26/2015,11:28,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,30.16, , 
8/26/2015,11:28,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-86.92,-1,47150.93
8/26/2015,12:21,FP #2S ,FLYING J #746 2025 S 900 W  ,SALT LAKE CITY ,UT  ,75.41,2.56,-192.98,-1, 
8/26/2015,12:21,FP TOTAL ,FLYING J #746 2025 S 900 W  ,SALT LAKE CITY ,UT  , , ,-192.98,-1,46956.95
8/26/2015,13:22,FP #2S ,FLYING J #968 6505 JACK RABBIT LANE  ,BELGRADE ,MT  ,133.23,2.56,-340.95,-1, 
8/26/2015,13:22,FP TOTAL ,FLYING J #968 6505 JACK RABBIT LANE  ,BELGRADE ,MT  , , ,-340.95,-1,46615
8/26/2015,17:21,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,165.01,2.58,-425.55,-1, 
8/26/2015,17:21,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,38.12, , 
8/26/2015,17:21,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-387.43,-1,46226.57
8/26/2015,17:31,Load ,  , , , , ,10808.64,-4,57031.21
8/26/2015,19:30,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,137.84,2.56,-352.73,-1, 
8/26/2015,19:30,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,17.51, , 
8/26/2015,19:30,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-335.22,-1,56694.99
8/26/2015,21:53,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,105.15,2.38,-250.16,-1, 
8/26/2015,21:53,FP OTH ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,10.01,2.85,-28.52, , 
8/26/2015,21:53,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,32.6, , 
8/26/2015,21:53,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-246.08,-1,56447.91
8/26/2015,23:03,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,148.81,2.47,-367.42,-1, 
8/26/2015,23:03,FP OTH ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,5.01,2.86,-14.34, , 
8/26/2015,23:03,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,62.65, , 
8/26/2015,23:03,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-319.11,-1,56127.8
