,,,,,,,,,,
8/28/2015,4:30,FP RFR ,PETRO GADSDEN - FUEL #352 1724 W GRAND AVE  ,GADSDEN ,AL  ,19.8,2.28,-45.12,-1, 
8/28/2015,4:30,FP Discount ,PETRO GADSDEN - FUEL #352 1724 W GRAND AVE  ,GADSDEN ,AL  , , ,6.44, , 
8/28/2015,4:30,FP TOTAL ,PETRO GADSDEN - FUEL #352 1724 W GRAND AVE  ,GADSDEN ,AL  , , ,-38.68,-1,37740.94
8/28/2015,10:29,FP #2S ,TA-SLIDELL I-10 & US190 EXT 1682  ,SLIDELL ,LA  ,143.83,2.36,-339.29,-1, 
8/28/2015,10:29,FP RFR ,TA-SLIDELL I-10 & US190 EXT 1682  ,SLIDELL ,LA  ,7.32,2.36,-17.27, , 
8/28/2015,10:29,FP OIL ,TA-SLIDELL I-10 & US190 EXT 1682  ,SLIDELL ,LA  ,1,20.65,-20.65, , 
8/28/2015,10:29,FP Discount ,TA-SLIDELL I-10 & US190 EXT 1682  ,SLIDELL ,LA  , , ,72.7, , 
8/28/2015,10:29,FP TOTAL ,TA-SLIDELL I-10 & US190 EXT 1682  ,SLIDELL ,LA  , , ,-304.51,-1,37435.43
8/28/2015,11:19,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,129.49,2.57,-332.66,-1, 
8/28/2015,11:19,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,72, , 
8/28/2015,11:19,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-260.66,-1,37173.77
8/28/2015,14:12,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,89.29,2.38,-212.41,-1, 
8/28/2015,14:12,FP OTH ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,3.99,2.85,-11.37, , 
8/28/2015,14:12,FP RFR ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,6.96,2.38,-16.56, , 
8/28/2015,14:12,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,47.16, , 
8/28/2015,14:12,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-193.18,-1,36979.59
8/28/2015,15:24,Check ,  , , , , ,-10000,-4,26975.59
8/28/2015,15:30,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,89.29,2.38,-212.41,-1, 
8/28/2015,15:30,FP OTH ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,3.99,2.85,-11.37, , 
8/28/2015,15:30,FP RFR ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,6.96,2.38,-16.56, , 
8/28/2015,15:30,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,47.16, , 
8/28/2015,15:30,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-193.18,-1,26781.41
8/28/2015,17:18,Load ,  , , , , ,16864.81,-4,43642.22
8/28/2015,18:49,FP RFR ,BEAR RIVER VALLEY CO-OP 2780 N 4800 W  ,CORINNE ,UT  ,22.32,2.6,-58.01,-1, 
8/28/2015,18:49,FP TOTAL ,BEAR RIVER VALLEY CO-OP 2780 N 4800 W  ,CORINNE ,UT  , , ,-58.01,-1,43583.21
8/28/2015,21:51,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,96.53,2.59,-249.92,-1, 
8/28/2015,21:51,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,17.22,2.59,-44.58, , 
8/28/2015,21:51,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,43.22, , 
8/28/2015,21:51,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-251.28,-1,43330.93
8/28/2015,22:46,FP #2S ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,169,2.43,-410.49,-1, 
8/28/2015,22:46,FP OTH ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,0.19,2.79,-0.53, , 
8/28/2015,22:46,FP RFR ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,1.58,2.42,-3.83, , 
8/28/2015,22:46,FP Discount ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,59.01, , 
8/28/2015,22:46,FP TOTAL ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,-355.84,-1,42974.09
8/28/2015,23:27,FP #2S ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  ,80,2.88,-230.33,-1, 
8/28/2015,23:27,FP Discount ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,33.04, , 
8/28/2015,23:27,FP TOTAL ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,-197.29,-1,42775.8
