,,,,,,,,,,
8/29/2015,1:33,FP #2S ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,95.26,3.48,-331.41,-1, 
8/29/2015,1:33,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,109.17, , 
8/29/2015,1:33,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-222.24,-1,42552.56
8/29/2015,2:00,FP RFR ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,5.71,3.48,-19.85, , 
8/29/2015,2:00,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,6.53, , 
8/29/2015,2:00,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-13.32, ,42539.24
8/29/2015,10:24,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,144.7,2.35,-339.91,-1, 
8/29/2015,10:24,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,22.69,2.35,-53.31, , 
8/29/2015,10:24,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,58.75, , 
8/29/2015,10:24,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-334.47,-1,42203.77
8/29/2015,11:58,FP #2S ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,181.01,2.5,-452.34,-1, 
8/29/2015,11:58,FP RFR ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,27.05,2.5,-67.59, , 
8/29/2015,11:58,FP Discount ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,102.37, , 
8/29/2015,11:58,FP TOTAL ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,-417.56,-1,41785.21
8/29/2015,14:32,FP #2S ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  ,114.07,2.53,-288.47,-1, 
8/29/2015,14:32,FP TOTAL ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  , , ,-288.47,-1,41495.74
8/29/2015,15:08,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,42.26,2.99,-126.3,-1, 
8/29/2015,15:08,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,22.9, , 
8/29/2015,15:08,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-103.4,-1,41391.34
8/29/2015,16:11,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,135.37,2.46,-332.87,-1, 
8/29/2015,16:11,FP OTH ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,7.58,2.8,-21.22, , 
8/29/2015,16:11,FP RFR ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,10.19,2.46,-25.05, , 
8/29/2015,16:11,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,32.3, , 
8/29/2015,16:11,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-346.84,-1,41043.5
8/29/2015,17:17,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,159.47,2.99,-476.66,-1, 
8/29/2015,17:17,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,5.04,2.86,-14.4, , 
8/29/2015,17:17,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,28.27,2.99,-84.5, , 
8/29/2015,17:17,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,101.75, , 
8/29/2015,17:17,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-473.81,-1,40568.69
8/29/2015,18:14,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,156.48,2.99,-467.71,-1, 
8/29/2015,18:14,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,84.81, , 
8/29/2015,18:14,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-382.9,-1,40184.79
8/29/2015,18:51,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,193.42,2.47,-477.55,-1, 
8/29/2015,18:51,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,78.14, , 
8/29/2015,18:51,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-399.41,-1,39784.38
