,,,,,,,,,,
8/30/2015,0:49,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,121.69,2.38,-289.5,-1, 
8/30/2015,0:49,FP OTH ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,9.81,2.85,-27.95, , 
8/30/2015,0:49,FP RFR ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,10.03,2.38,-23.86, , 
8/30/2015,0:49,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,43.86, , 
8/30/2015,0:49,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-297.45,-1,39485.93
8/30/2015,1:24,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,99.69,2.53,-252.1,-1, 
8/30/2015,1:24,FP OTH ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,11.59,2.76,-31.97, , 
8/30/2015,1:24,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,23.63, , 
8/30/2015,1:24,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-260.44,-1,39224.49
8/30/2015,5:38,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,120.41,2.35,-282.85,-1, 
8/30/2015,5:38,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,32.27, , 
8/30/2015,5:38,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-250.58,-1,38972.91
8/30/2015,10:08,FP #2S ,"PETRO FUEL #89 I-94, EXIT 178 & HWY 24  ",CLEARWATER ,MN  ,145.94,2.5,-364.69,-1, 
8/30/2015,10:08,FP Discount ,"PETRO FUEL #89 I-94, EXIT 178 & HWY 24  ",CLEARWATER ,MN  , , ,12.84, , 
8/30/2015,10:08,FP TOTAL ,"PETRO FUEL #89 I-94, EXIT 178 & HWY 24  ",CLEARWATER ,MN  , , ,-351.85,-1,38620.06
8/30/2015,12:11,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,149.75,2.52,-377.21,-1, 
8/30/2015,12:11,FP OTH ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,10.14,2.76,-27.98, , 
8/30/2015,12:11,FP RFR ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,25.16,2.4,-60.35, , 
8/30/2015,12:11,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,48.45, , 
8/30/2015,12:11,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-417.09,-1,38201.97
8/30/2015,12:44,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,99.12,2.66,-263.56,-1, 
8/30/2015,12:44,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,29.84, , 
8/30/2015,12:44,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-233.72,-1,37967.25
8/30/2015,18:31,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,136.04,2.53,-344.05,-1, 
8/30/2015,18:31,FP RFR ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,5.97,2.37,-14.16, , 
8/30/2015,18:31,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,41.18, , 
8/30/2015,18:31,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-317.03,-1,37649.22
8/30/2015,20:49,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,74.65,2.35,-175.36,-1, 
8/30/2015,20:49,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,20.01, , 
8/30/2015,20:49,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-155.35,-1,37492.87
8/30/2015,21:43,FP #2S ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  ,149.54,2.57,-384.17,-1, 
8/30/2015,21:43,FP RFR ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  ,10.46,2.57,-26.87, , 
8/30/2015,21:43,FP Discount ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,59.04, , 
8/30/2015,21:43,FP TOTAL ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,-352,-1,37139.87
