,,,,,,,,,,
11/12/2015,7:14,FP #2S ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  ,114.41,2.42,-276.76,-1, 
11/12/2015,7:14,FP OTH ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  ,12,2.86,-34.32, , 
11/12/2015,7:14,FP RFR ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  ,24.5,2.42,-59.27, , 
11/12/2015,7:14,FP Discount ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  , , ,34.03, , 
11/12/2015,7:14,FP TOTAL ,PETRO FUEL #29 I-40/85 EXIT 157  ,MEBANE ,NC  , , ,-336.32,-1,32432.07
11/12/2015,8:18,FP #2S ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  ,80.34,2.56,-205.59,-1, 
11/12/2015,8:18,FP Discount ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  , , ,20.57, , 
11/12/2015,8:18,FP TOTAL ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  , , ,-185.02,-1,32246.05
11/12/2015,10:11,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,141.07,2.54,-358.19,-1, 
11/12/2015,10:11,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,55.16, , 
11/12/2015,10:11,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-303.03,-1,31942.02
11/12/2015,11:42,FP #2S ,TA-BALTIMORE 5501 0'DONNELL ST  ,BALTIMORE ,MD  ,53.3,2.94,-156.66,-1, 
11/12/2015,11:42,FP Discount ,TA-BALTIMORE 5501 0'DONNELL ST  ,BALTIMORE ,MD  , , ,42.32, , 
11/12/2015,11:42,FP TOTAL ,TA-BALTIMORE 5501 0'DONNELL ST  ,BALTIMORE ,MD  , , ,-114.34,-1,31826.68
11/12/2015,12:16,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,91.89,2.52,-231.46,-1, 
11/12/2015,12:16,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,49.34, , 
11/12/2015,12:16,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-182.12,-1,31643.56
11/12/2015,12:31,Check ,  , , , , ,-12000,-4,19639.56
11/12/2015,14:40,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,134.44,2.46,-330.59,-1, 
11/12/2015,14:40,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,43.69, , 
11/12/2015,14:40,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-286.9,-1,19351.66
11/12/2015,15:21,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,71.25,2.62,-186.62,-1, 
11/12/2015,15:21,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,2.12,2.8,-5.93, , 
11/12/2015,15:21,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,14.18, , 
11/12/2015,15:21,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-178.37,-1,19172.29
11/12/2015,16:21,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,171.27,2.43,-416.02,-1, 
11/12/2015,16:21,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,8.22, , 
11/12/2015,16:21,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-407.8,-1,18763.49
11/12/2015,16:46,Load ,  , , , , ,3879.55,-4,22639.04
11/12/2015,18:07,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,51.47,2.31,-118.85,-1, 
11/12/2015,18:07,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,7.51, , 
11/12/2015,18:07,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-111.34,-1,22526.7
11/12/2015,20:02,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,33.51,2.43,-81.4,-1, 
11/12/2015,20:02,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,1.68, , 
11/12/2015,20:02,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-79.72,-1,22445.98
11/12/2015,20:35,FP #2S ,TA-LAMAR I-80 & RT.64  ,LAMAR ,PA  ,20.03,2.74,-54.85,-1, 
11/12/2015,20:35,FP Discount ,TA-LAMAR I-80 & RT.64  ,LAMAR ,PA  , , ,4.71, , 
11/12/2015,20:35,FP TOTAL ,TA-LAMAR I-80 & RT.64  ,LAMAR ,PA  , , ,-50.14,-1,22394.84
11/12/2015,20:37,FP RFR ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,30.99,2.55,-79,-1, 
11/12/2015,20:37,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-79,-1,22314.84
11/12/2015,21:30,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,152,2.59,-393.53,-1, 
11/12/2015,21:30,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,7,2.86,-20.02, , 
11/12/2015,21:30,FP RFR ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,15.1,2.59,-39.09, , 
11/12/2015,21:30,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,41.78, , 
11/12/2015,21:30,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-410.86,-1,21902.98
11/12/2015,22:09,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,120.08,2.52,-302.48,-1, 
11/12/2015,22:09,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,10.36,2.86,-29.63, , 
11/12/2015,22:09,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,65.8, , 
11/12/2015,22:09,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-266.31,-1,21635.67
