,,,,,,,,,,
8/6/2015,3:26,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,169.89,2.7,-458.53,-1, 
8/6/2015,3:26,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,6.69,2.85,-19.06, , 
8/6/2015,3:26,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,35.5,2.7,-95.8, , 
8/6/2015,3:26,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,50.11, , 
8/6/2015,3:26,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-523.28,-1,38901.6
8/6/2015,3:29,FP #2S ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  ,117.38,2.5,-293.33,-1, 
8/6/2015,3:29,FP Discount ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  , , ,56.93, , 
8/6/2015,3:29,FP TOTAL ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  , , ,-236.4,-1,38664.2
8/6/2015,7:18,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,73.77,2.66,-196.14,-1, 
8/6/2015,7:18,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,41.98, , 
8/6/2015,7:18,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-154.16,-1,38509.04
8/6/2015,9:14,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,30.23,2.93,-88.54,-1, 
8/6/2015,9:14,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,15.08, , 
8/6/2015,9:14,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-73.46,-1,38434.58
8/6/2015,12:51,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,108.84,2.43,-264.7,-1, 
8/6/2015,12:51,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,32.65,2.43,-79.41, , 
8/6/2015,12:51,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,44.71, , 
8/6/2015,12:51,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-299.4,-1,38134.18
8/6/2015,13:52,Check ,  , , , , ,-15000,-1.5,23132.68
8/6/2015,16:44,Load ,  , , , , ,7384.43,-4,30513.11
8/6/2015,17:32,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,128.5,2.87,-368.68,-1, 
8/6/2015,17:32,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,84.81, , 
8/6/2015,17:32,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-283.87,-1,30228.24
8/6/2015,22:53,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,123.25,2.55,-314.16,-1, 
8/6/2015,22:53,FP OTH ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,4.37,2.8,-12.24, , 
8/6/2015,22:53,FP RFR ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,11.12,2.55,-28.35, , 
8/6/2015,22:53,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,39.77, , 
8/6/2015,22:53,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-314.98,-1,29912.26
