,,,,,,,,,,
8/7/2015,3:02,FP #2S ,LOVES #478 I-15 EXIT 113  ,IDAHO FALLS ,ID  ,190.12,2.65,-503.65,-1, 
8/7/2015,3:02,FP TOTAL ,LOVES #478 I-15 EXIT 113  ,IDAHO FALLS ,ID  , , ,-503.65,-1,29407.61
8/7/2015,3:09,FP #2S ,TA-COLUMBIA I-80 AND RT.94 EXIT 4  ,COLUMBIA ,NJ  ,124.66,2.76,-343.93,-1, 
8/7/2015,3:09,FP RFR ,TA-COLUMBIA I-80 AND RT.94 EXIT 4  ,COLUMBIA ,NJ  ,10.69,2.76,-29.49, , 
8/7/2015,3:09,FP Discount ,TA-COLUMBIA I-80 AND RT.94 EXIT 4  ,COLUMBIA ,NJ  , , ,95.69, , 
8/7/2015,3:09,FP TOTAL ,TA-COLUMBIA I-80 AND RT.94 EXIT 4  ,COLUMBIA ,NJ  , , ,-277.73,-1,29128.88
8/7/2015,4:24,FP #2S ,PILOT #879 2828 EL CENTRO RD  ,SACRAMENTO ,CA  ,145.72,3,-437.02,-1, 
8/7/2015,4:24,FP OTH ,PILOT #879 2828 EL CENTRO RD  ,SACRAMENTO ,CA  ,5.65,3,-16.97, , 
8/7/2015,4:24,FP RFR ,PILOT #879 2828 EL CENTRO RD  ,SACRAMENTO ,CA  ,23,3,-68.99, , 
8/7/2015,4:24,FP TOTAL ,PILOT #879 2828 EL CENTRO RD  ,SACRAMENTO ,CA  , , ,-522.98,-1,28604.9
8/7/2015,5:52,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,75.01,2.66,-199.44,-1, 
8/7/2015,5:52,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,12,2.86,-34.31, , 
8/7/2015,5:52,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,19.52,2.66,-51.9, , 
8/7/2015,5:52,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,55.21, , 
8/7/2015,5:52,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-230.44,-1,28373.46
8/7/2015,6:04,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,112.52,2.66,-299.2,-1, 
8/7/2015,6:04,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,25.16,2.66,-66.89, , 
8/7/2015,6:04,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,80.4, , 
8/7/2015,6:04,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-285.69,-1,28086.77
8/7/2015,9:34,FP #2S ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  ,189.08,2.56,-483.87,-1, 
8/7/2015,9:34,FP OTH ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  ,6.12,2.85,-17.43, , 
8/7/2015,9:34,FP RFR ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  ,30.05,2.56,-76.9, , 
8/7/2015,9:34,FP Discount ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  , , ,86.12, , 
8/7/2015,9:34,FP TOTAL ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  , , ,-492.08,-1,27593.69
8/7/2015,10:23,Load ,  , , , , ,9677.25, ,37270.94
8/7/2015,14:03,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,47.95,2.69,-128.94,-1, 
8/7/2015,14:03,FP RFR ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,6.28,2.69,-16.88, , 
8/7/2015,14:03,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,22.72, , 
8/7/2015,14:03,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-123.1,-1,37146.84
8/7/2015,15:14,Check ,  , , , , ,-10000,-1.5,27145.34
8/7/2015,16:08,FP #2S ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  ,141.94,2.52,-357.26,-1, 
