,,,,,,,,,,
8/9/2015,8:20,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,95.64,2.39,-228.48,-1, 
8/9/2015,8:20,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,12.19,2.86,-34.86, , 
8/9/2015,8:20,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,20.58,2.39,-49.17, , 
8/9/2015,8:20,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,27.89, , 
8/9/2015,8:20,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-284.62,-1,47551.63
8/9/2015,9:10,FP #2S ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,191.28,2.48,-474.19,-1, 
8/9/2015,9:10,FP OTH ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,7.66,2.86,-21.89, , 
8/9/2015,9:10,FP RFR ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,14.08,2.48,-34.91, , 
8/9/2015,9:10,FP Discount ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,69, , 
8/9/2015,9:10,FP TOTAL ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,-461.99,-1,47088.64
8/9/2015,12:57,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,131.1,2.26,-296.15,-1, 
8/9/2015,12:57,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,1.44,2.26,-3.25, , 
8/9/2015,12:57,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,31.8, , 
8/9/2015,12:57,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-267.6,-1,46820.04
8/9/2015,16:56,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,152.29,2.53,-385.14,-1, 
8/9/2015,16:56,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,56.04, , 
8/9/2015,16:56,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-329.1,-1,46489.94
8/9/2015,17:44,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,144.37,2.65,-382.44,-1, 
8/9/2015,17:44,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,5.05,2.85,-14.39, , 
8/9/2015,17:44,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,21.54,2.65,-57.05, , 
8/9/2015,17:44,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,38.82, , 
8/9/2015,17:44,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-415.06,-1,46073.88
8/9/2015,20:08,FP #2S ,PETRO FUEL #36 1201 HARRISBURG PIKE  ,CARLISLE ,PA  ,25.1,2.76,-69.25,-1, 
8/9/2015,20:08,FP Discount ,PETRO FUEL #36 1201 HARRISBURG PIKE  ,CARLISLE ,PA  , , ,6.35, , 
8/9/2015,20:08,FP TOTAL ,PETRO FUEL #36 1201 HARRISBURG PIKE  ,CARLISLE ,PA  , , ,-62.9,-1,46009.98
8/9/2015,20:19,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,105.48,2.39,-251.98,-1, 
8/9/2015,20:19,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,14.1,2.86,-40.31, , 
8/9/2015,20:19,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,26.13,2.39,-62.42, , 
8/9/2015,20:19,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,31.59, , 
8/9/2015,20:19,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-323.12,-1,45685.86
8/9/2015,21:51,FP #2S ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  ,60.37,2.93,-176.84,-1, 
8/9/2015,21:51,FP Discount ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  , , ,46.91, , 
8/9/2015,21:51,FP TOTAL ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  , , ,-129.93,-1,45554.93
8/9/2015,23:46,Debit Decline ,GULF MART 857  ,LEE ,MA , , ,0,-1.5,45553.43
8/9/2015,23:57,FP #2S ,GULF OIL LP #5010 MM 8.5 EASTBOUND MA TURNP  ,LEE ,MA  ,41.85,2.94,-123,-1, 
8/9/2015,23:57,FP TOTAL ,GULF OIL LP #5010 MM 8.5 EASTBOUND MA TURNP  ,LEE ,MA  , , ,-123,-1,45429.4
