,,,,,,,,,,
9/3/2015,0:19,FP #2S ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  ,68.07,2.83,-192.58,-1, 
9/3/2015,0:19,FP Discount ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,21.58, , 
9/3/2015,0:19,FP TOTAL ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,-171,-1,55718.31
9/3/2015,1:39,FP #2S ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,105.51,2.4,-253.13,-1, 
9/3/2015,1:39,FP OTH ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,15.54,2.8,-43.51, , 
9/3/2015,1:39,FP Discount ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,22.68, , 
9/3/2015,1:39,FP TOTAL ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,-273.96,-1,55443.35
9/3/2015,4:47,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,70.16,2.62,-183.76,-1, 
9/3/2015,4:47,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,35.78, , 
9/3/2015,4:47,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-147.98,-1,55294.37
9/3/2015,7:05,FP #2S ,PILOT #210 230 RT 17 SOUTH  ,MAHWAH ,NJ  ,43.28,2.76,-119.42,-1, 
9/3/2015,7:05,FP TOTAL ,PILOT #210 230 RT 17 SOUTH  ,MAHWAH ,NJ  , , ,-119.42,-1,55173.95
9/3/2015,12:24,FP #2S ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,122,2.54,-309.77,-1, 
9/3/2015,12:24,FP OTH ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,3.52,2.76,-9.71, , 
9/3/2015,12:24,FP RFR ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,37.02,2.54,-93.99, , 
9/3/2015,12:24,FP Discount ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,72.99, , 
9/3/2015,12:24,FP TOTAL ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,-340.48,-1,54832.47
9/3/2015,13:06,Check ,  , , , , ,-30000,-4,24828.47
9/3/2015,14:08,FP #2S ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,74.78,3.4,-254.17,-1, 
9/3/2015,14:08,FP RFR ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,11.18,3.4,-38.01, , 
9/3/2015,14:08,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,83.4, , 
9/3/2015,14:08,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-208.78,-1,24618.69
9/3/2015,17:20,Load ,  , , , , ,6622,-4,31236.69
9/3/2015,17:47,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,164.77,3.02,-497.43,-1, 
9/3/2015,17:47,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,1.32,2.86,-3.77, , 
9/3/2015,17:47,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,12.92,3.02,-39.01, , 
9/3/2015,17:47,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,95.96, , 
9/3/2015,17:47,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-444.25,-1,30791.44
9/3/2015,17:50,FP #2S ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,55.42,2.52,-139.59,-1, 
9/3/2015,17:50,FP RFR ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,13.65,2.52,-34.39, , 
9/3/2015,17:50,FP Discount ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,12.71, , 
9/3/2015,17:50,FP TOTAL ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,-161.27,-1,30629.17
9/3/2015,18:34,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,97.74,3.02,-295.06,-1, 
9/3/2015,18:34,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,52.78, , 
9/3/2015,18:34,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-242.28,-1,30385.89
9/3/2015,22:35,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,26.77,2.53,-67.7,-1, 
9/3/2015,22:35,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,4.79, , 
9/3/2015,22:35,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-62.91,-1,30321.98
