,,,,,,,,,,
9/4/2015,1:15,FP #2S ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  ,174.79,2.9,-506.72,-1, 
9/4/2015,1:15,FP Discount ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  , , ,34.96, , 
9/4/2015,1:15,FP TOTAL ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  , , ,-471.76,-1,29849.22
9/4/2015,2:00,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,12.42,2.86,-35.51,-1, 
9/4/2015,2:00,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-35.51,-1,29812.71
9/4/2015,2:08,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,100.29,2.58,-258.86, , 
9/4/2015,2:08,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,46.33, , 
9/4/2015,2:08,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-212.53, ,29600.18
9/4/2015,8:06,FP #2S ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  ,70.33,2.48,-174.36,-1, 
9/4/2015,8:06,FP TOTAL ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  , , ,-174.36,-1,29424.82
9/4/2015,10:33,FP #2S ,LANCASTER TRAVEL PLACES L 2622 LINCOLN HWY EAST  ,RONKS ,PA  ,16.93,2.75,-46.53,-1, 
9/4/2015,10:33,FP RFR ,LANCASTER TRAVEL PLACES L 2622 LINCOLN HWY EAST  ,RONKS ,PA  ,5.55,2.75,-15.27, , 
9/4/2015,10:33,FP TOTAL ,LANCASTER TRAVEL PLACES L 2622 LINCOLN HWY EAST  ,RONKS ,PA  , , ,-61.8,-1,29362.02
9/4/2015,11:11,FP RFR ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  ,28.65,2.53,-72.46,-1, 
9/4/2015,11:11,FP Discount ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  , , ,9.4, , 
9/4/2015,11:11,FP TOTAL ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  , , ,-63.06,-1,29297.96
9/4/2015,11:27,FP #2S ,"TA-PAULSBORO I-295S & BERKLEY RD, EXIT  ",PAULSBORO ,NJ  ,78.55,2.53,-198.66,-1, 
9/4/2015,11:27,FP Discount ,"TA-PAULSBORO I-295S & BERKLEY RD, EXIT  ",PAULSBORO ,NJ  , , ,36.76, , 
9/4/2015,11:27,FP TOTAL ,"TA-PAULSBORO I-295S & BERKLEY RD, EXIT  ",PAULSBORO ,NJ  , , ,-161.9,-1,29135.06
9/4/2015,11:30,FP #2S ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,96.53,3.33,-321.35,-1, 
9/4/2015,11:30,FP Discount ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,89.97, , 
9/4/2015,11:30,FP TOTAL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,-231.38,-1,28902.68
9/4/2015,11:42,FP OIL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,1,22.73,-22.73, , 
9/4/2015,11:42,FP TOTAL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,-22.73, ,28879.95
9/4/2015,17:03,Load ,  , , , , ,14691.26,-4,43567.21
9/4/2015,17:29,FP #2S ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  ,179.52,2.83,-507.87,-1, 
9/4/2015,17:29,FP Discount ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,50.8, , 
9/4/2015,17:29,FP TOTAL ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,-457.07,-1,43109.14
9/4/2015,17:42,FP RFR ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  ,38.37,2.83,-108.55, , 
9/4/2015,17:42,FP Discount ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,10.86, , 
9/4/2015,17:42,FP TOTAL ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,-97.69, ,43011.45
9/4/2015,20:02,FP #2S ,PETRO SCRANTON (FUEL) 98 GROVE ST.  ,DUPONT ,PA  ,157.82,2.87,-452.79,-1, 
9/4/2015,20:02,FP Discount ,PETRO SCRANTON (FUEL) 98 GROVE ST.  ,DUPONT ,PA  , , ,46.71, , 
9/4/2015,20:02,FP TOTAL ,PETRO SCRANTON (FUEL) 98 GROVE ST.  ,DUPONT ,PA  , , ,-406.08,-1,42604.37
9/4/2015,20:07,FP RFR ,PETRO SCRANTON (FUEL) 98 GROVE ST.  ,DUPONT ,PA  ,36.72,2.87,-105.35, , 
9/4/2015,20:07,FP Discount ,PETRO SCRANTON (FUEL) 98 GROVE ST.  ,DUPONT ,PA  , , ,10.87, , 
9/4/2015,20:07,FP TOTAL ,PETRO SCRANTON (FUEL) 98 GROVE ST.  ,DUPONT ,PA  , , ,-94.48, ,42509.89
9/4/2015,21:36,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,76.7,2.5,-191.67,-1, 
9/4/2015,21:36,FP OTH ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,6.05,2.8,-16.95, , 
9/4/2015,21:36,FP RFR ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,18.53,2.5,-46.31, , 
9/4/2015,21:36,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,13.71, , 
