,,,,,,,,,,
8/19/2015,0:11,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,135.5,2.46,-333.2,-1, 
8/19/2015,0:11,FP OTH ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,5.4,2.86,-15.43, , 
8/19/2015,0:11,FP RFR ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,12.85,2.46,-31.59, , 
8/19/2015,0:11,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,48.5, , 
8/19/2015,0:11,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-331.72,-1,54688.93
8/19/2015,4:27,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,150.39,2.43,-365.31,-1, 
8/19/2015,4:27,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,49.33, , 
8/19/2015,4:27,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-315.98,-1,54371.95
8/19/2015,5:05,FP #2S ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,125.92,3.5,-440.61,-1, 
8/19/2015,5:05,FP OTH ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,12.36,2.95,-36.45, , 
8/19/2015,5:05,FP RFR ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,25.85,3.5,-90.45, , 
8/19/2015,5:05,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,160.12, , 
8/19/2015,5:05,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-407.39,-1,53963.56
8/19/2015,8:21,FP #2S ,SMOKIES 30003 SHEPERD DRIVE  ,OKOLONA ,MS  ,184.59,2.4,-442.83,-1, 
8/19/2015,8:21,FP TOTAL ,SMOKIES 30003 SHEPERD DRIVE  ,OKOLONA ,MS  , , ,-442.83,-1,53519.73
8/19/2015,9:00,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,37.27,2.59,-96.48,-1, 
8/19/2015,9:00,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,8.42, , 
8/19/2015,9:00,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-88.06,-1,53430.67
8/19/2015,10:20,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,98.21,2.66,-261.14,-1, 
8/19/2015,10:20,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,29.17, , 
8/19/2015,10:20,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-231.97,-1,53197.7
8/19/2015,14:07,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,50.3,2.54,-127.71,-1, 
8/19/2015,14:07,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,11.42, , 
8/19/2015,14:07,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-116.29,-1,53080.41
8/19/2015,14:26,FP RFR ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  ,26.62,2.93,-77.96,-1, 
8/19/2015,14:26,FP Discount ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,9.69, , 
8/19/2015,14:26,FP TOTAL ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,-68.27,-1,53011.14
8/19/2015,16:03,Check ,  , , , , ,-20000,-3.5,33007.64
8/19/2015,17:10,Load ,  , , , , ,12709.94,-4,45713.58
8/19/2015,19:02,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,130.89,2.53,-331.03,-1, 
8/19/2015,19:02,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.24,2.86,-14.98, , 
8/19/2015,19:02,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,20.57,2.53,-52.01, , 
8/19/2015,19:02,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,34.81, , 
8/19/2015,19:02,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-363.21,-1,45349.37
8/19/2015,20:57,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,63.8,2.5,-159.44,-1, 
8/19/2015,20:57,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,1.86,2.74,-5.1, , 
8/19/2015,20:57,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,5.26,2.5,-13.15, , 
8/19/2015,20:57,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,43.86, , 
8/19/2015,20:57,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-133.83,-1,45214.54
