,,,,,,,,,,
8/22/2015,7:23,FP #2S ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  ,51.22,2.48,-126.97,-1, 
8/22/2015,7:23,FP OTH ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  ,11.59,2.86,-33.14, , 
8/22/2015,7:23,FP Discount ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  , , ,15.62, , 
8/22/2015,7:23,FP TOTAL ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  , , ,-144.49,-1,39166.28
8/22/2015,8:32,FP #2S ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,188.85,2.57,-485.15,-1, 
8/22/2015,8:32,FP RFR ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,25.46,2.57,-65.41, , 
8/22/2015,8:32,FP Discount ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,119.16, , 
8/22/2015,8:32,FP TOTAL ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,-431.4,-1,38733.88
8/22/2015,8:47,FP #2S ,FLYING J #684 I-94 & HWY 16  ,BEACH ,ND  ,158.24,2.6,-411.28,-1, 
8/22/2015,8:47,FP TOTAL ,FLYING J #684 I-94 & HWY 16  ,BEACH ,ND  , , ,-411.28,-1,38321.6
8/22/2015,9:33,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,176.45,2.89,-509.77,-1, 
8/22/2015,9:33,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,4.8,2.86,-13.74, , 
8/22/2015,9:33,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,79.76, , 
8/22/2015,9:33,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-443.75,-1,37876.85
8/22/2015,11:52,FP #2S ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,138.4,2.5,-345.86,-1, 
8/22/2015,11:52,FP RFR ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,14.72,2.5,-36.79, , 
8/22/2015,11:52,FP Discount ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,32.92, , 
8/22/2015,11:52,FP TOTAL ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,-349.73,-1,37526.12
8/22/2015,13:08,FP #2S ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  ,150.82,3.05,-459.86,-1, 
8/22/2015,13:08,FP RFR ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  ,22.62,3.05,-68.98, , 
8/22/2015,13:08,FP Discount ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,135.31, , 
8/22/2015,13:08,FP TOTAL ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,-393.53,-1,37131.59
8/22/2015,16:44,FP #2S ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,138.02,2.57,-354.58,-1, 
8/22/2015,16:44,FP RFR ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,32.15,2.57,-82.59, , 
8/22/2015,16:44,FP Discount ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,94.62, , 
8/22/2015,16:44,FP TOTAL ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,-342.55,-1,36788.04
8/22/2015,23:47,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,185.81,2.46,-456.9,-1, 
8/22/2015,23:47,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,9.15,2.86,-26.15, , 
8/22/2015,23:47,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,48.68, , 
8/22/2015,23:47,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-434.37,-1,36352.67
