,,,,,,,,,,
7/18/2015,4:16,FP #2S ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  ,137.47,2.78,-382.03,-1, 
7/18/2015,4:16,FP OTH ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  ,9.26,2.85,-26.39, , 
7/18/2015,4:16,FP RFR ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  ,21.15,2.78,-58.76, , 
7/18/2015,4:16,FP Discount ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  , , ,65.33, , 
7/18/2015,4:16,FP TOTAL ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  , , ,-401.85,-1,46381.61
7/18/2015,10:17,FP #2S ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  ,74.55,2.7,-201.22,-1, 
7/18/2015,10:17,FP RFR ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  ,23.37,2.58,-60.17, , 
7/18/2015,10:17,FP Discount ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  , , ,20.2, , 
7/18/2015,10:17,FP TOTAL ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  , , ,-241.19,-1,46139.42
7/18/2015,10:53,FP #2S ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,75.66,2.76,-208.75,-1, 
7/18/2015,10:53,FP RFR ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,12.74,2.76,-35.15, , 
7/18/2015,10:53,FP Discount ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  , , ,46.94, , 
7/18/2015,10:53,FP TOTAL ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  , , ,-196.96,-1,45941.46
7/18/2015,11:02,FP RFR ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  ,41.99,2.98,-125.09,-1, 
7/18/2015,11:02,FP Discount ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  , , ,20.7, , 
7/18/2015,11:02,FP TOTAL ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  , , ,-104.39,-1,45836.07
7/18/2015,12:34,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,146.88,2.7,-396.44,-1, 
7/18/2015,12:34,FP OTH ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,5.04,2.8,-14.1, , 
7/18/2015,12:34,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,48.76, , 
7/18/2015,12:34,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-361.78,-1,45473.29
7/18/2015,13:21,FP #2S ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,30.91,2.76,-85.29,-1, 
7/18/2015,13:21,FP OTH ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,0.08,3,-0.24, , 
7/18/2015,13:21,FP RFR ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,5.05,2.76,-13.94, , 
7/18/2015,13:21,FP Discount ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  , , ,19.1, , 
7/18/2015,13:21,FP TOTAL ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  , , ,-80.37,-1,45391.92
7/18/2015,16:43,FP #2S ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  ,128.33,2.98,-382.3,-1, 
7/18/2015,16:43,FP OTH ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  ,9.1,2.75,-25.01, , 
7/18/2015,16:43,FP RFR ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  ,32.93,2.98,-98.11, , 
7/18/2015,16:43,FP Discount ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  , , ,79.5, , 
7/18/2015,16:43,FP TOTAL ,PETRO: 2 #46 28991 W. GONZAGA RD  ,SANTA NELLA ,CA  , , ,-425.92,-1,44965
7/18/2015,18:05,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,201.34,3.26,-656.16,-1, 
7/18/2015,18:05,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,114.56, , 
7/18/2015,18:05,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-541.6,-1,44422.4
7/18/2015,18:08,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,15.87,3.26,-51.71, , 
7/18/2015,18:08,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,9.01, , 
7/18/2015,18:08,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-42.7, ,44379.7
7/18/2015,20:01,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,50.75,2.48,-125.81,-1, 
7/18/2015,20:01,FP RFR ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,7.49,2.48,-18.57, , 
7/18/2015,20:01,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,15.15, , 
7/18/2015,20:01,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-129.23,-1,44249.47
7/18/2015,20:13,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,88.66,2.73,-241.95,-1, 
7/18/2015,20:13,FP RFR ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,21.52,2.73,-58.73, , 
7/18/2015,20:13,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,31.18, , 
7/18/2015,20:13,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-269.5,-1,43978.97
7/18/2015,23:53,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,102.3,2.89,-295.53,-1, 
7/18/2015,23:53,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,48.8, , 
7/18/2015,23:53,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-246.73,-1,43731.24
