,,,,,,,,,,
7/7/2015,0:23,FP #2S ,TA-SANTA NELLA 12310 S HWY 33 & I-5  ,SANTA NELLA ,CA  ,23.27,3.02,-70.24,-1, 
7/7/2015,0:23,FP Discount ,TA-SANTA NELLA 12310 S HWY 33 & I-5  ,SANTA NELLA ,CA  , , ,7.84, , 
7/7/2015,0:23,FP TOTAL ,TA-SANTA NELLA 12310 S HWY 33 & I-5  ,SANTA NELLA ,CA  , , ,-62.4,-1,61481
7/7/2015,5:18,FP #2S ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  ,200,3.02,-603.81,-1, 
7/7/2015,5:18,FP Discount ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  , , ,69.8, , 
7/7/2015,5:18,FP TOTAL ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  , , ,-534.01,-1,60945.99
7/7/2015,6:15,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,82.2,2.98,-244.88,-1, 
7/7/2015,6:15,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,36.09, , 
7/7/2015,6:15,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-208.79,-1,60736.2
7/7/2015,8:52,FP #2S ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,126.21,2.84,-358.3,-1, 
7/7/2015,8:52,FP RFR ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  ,22.13,2.84,-62.83, , 
7/7/2015,8:52,FP Discount ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,69.43, , 
7/7/2015,8:52,FP TOTAL ,PETRO FUEL #14 I-295 EXIT 56/EXIT 7 @ NJ  ,BORDENTOWN ,NJ  , , ,-351.7,-1,60383.5
7/7/2015,16:33,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,66.37,3.02,-200.36,-1, 
7/7/2015,16:33,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,2.59,2.85,-7.37, , 
7/7/2015,16:33,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,21.57, , 
7/7/2015,16:33,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-186.16,-1,60196.34
7/7/2015,17:25,Load ,  , , , , ,32314.2,-4,92506.54
7/7/2015,19:43,FP #2S ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,136.35,2.73,-372.1,-1, 
7/7/2015,19:43,FP OTH ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,4.61,2.85,-13.13, , 
7/7/2015,19:43,FP RFR ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,22.62,2.73,-61.73, , 
7/7/2015,19:43,FP Discount ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,55.96, , 
7/7/2015,19:43,FP TOTAL ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,-391,-1,92114.54
7/7/2015,22:52,FP #2S ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  ,115.81,3.38,-391.34,-1, 
7/7/2015,22:52,FP Discount ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  , , ,103.19, , 
7/7/2015,22:52,FP TOTAL ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  , , ,-288.15,-1,91825.39
