  Date    ,Time,Description,Location,City,State,Product Qty,Unit Cost,Amount,        Fee,Balance
07/06/15 ,01:53 ,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , 90.70, 2.56, -232.11, -1.00,
07/06/15 ,01:53 ,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,,, 25.40,,
07/06/15 ,01:53 ,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,,, -206.71, -1.00, 84999.77
07/06/15 ,03:45 ,FP #2S ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , 16.81, 2.60, -43.69, -1.00,
07/06/15 ,03:45 ,FP Discount ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,,, 2.42,,
07/06/15 ,03:45 ,FP TOTAL ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,,, -41.27, -1.00, 84957.50
07/06/15 ,03:58 ,FP RFR ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  , 39.44, 2.94, -115.92, -1.00,
07/06/15 ,03:58 ,FP TOTAL ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,,, -115.92, -1.00, 84840.58
07/06/15 ,04:07 ,FP OTH ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , 14.42, 2.85, -41.08,,
07/06/15 ,04:07 ,FP TOTAL ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,,, -41.08,, 84799.50
07/06/15 ,10:21 ,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , 124.37, 3.26, -405.31, -1.00,
07/06/15 ,10:21 ,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , 4.52, 2.86, -12.92,,
07/06/15 ,10:21 ,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,,, 40.30,,
07/06/15 ,10:21 ,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,,, -377.93, -1.00, 84420.57
07/06/15 ,12:25 ,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , 159.08, 2.73, -434.13, -1.00,
07/06/15 ,12:25 ,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,,, 38.82,,
07/06/15 ,12:25 ,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,,, -395.31, -1.00, 84024.26
07/06/15 ,12:52 ,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , 63.63, 2.75, -175.17, -1.00,
07/06/15 ,12:52 ,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,,, 20.87,,
07/06/15 ,12:52 ,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,,, -154.30, -1.00, 83868.96
07/06/15 ,13:35 ,Check ,  ,,,,, -54000.00, -1.50, 29867.46
07/06/15 ,15:50 ,Load ,  ,,,,, 70.00, -4.00, 29933.46
07/06/15 ,17:00 ,Load ,  ,,,,, 32858.67, -4.00, 62788.13
07/06/15 ,17:53 ,FP #2S ,PILOT #372 31642 CASTIAC RD  ,CASTAIC ,CA  , 55.38, 3.00, -166.08, -1.00,
07/06/15 ,17:53 ,FP TOTAL ,PILOT #372 31642 CASTIAC RD  ,CASTAIC ,CA  ,,, -166.08, -1.00, 62621.05
07/06/15 ,20:18 ,FP RFR ,LEE HI (TA) TRAVEL PLAZA 2516 NORTH LEE HIGHWAY  ,LEXINGTON ,VA  , 21.90, 2.74, -60.00, -1.00,
07/06/15 ,20:18 ,FP Discount ,LEE HI (TA) TRAVEL PLAZA 2516 NORTH LEE HIGHWAY  ,LEXINGTON ,VA  ,,, 7.31,,
07/06/15 ,20:18 ,FP TOTAL ,LEE HI (TA) TRAVEL PLAZA 2516 NORTH LEE HIGHWAY  ,LEXINGTON ,VA  ,,, -52.69, -1.00, 62567.36
07/06/15 ,20:18 ,FP #2S ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  , 114.47, 2.84, -324.97, -1.00,
07/06/15 ,20:18 ,FP RFR ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  , 28.13, 2.84, -79.87,,
07/06/15 ,20:18 ,FP Discount ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  ,,, 56.89,,
07/06/15 ,20:18 ,FP TOTAL ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  ,,, -347.95, -1.00, 62218.41
07/06/15 ,21:25 ,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , 107.92, 3.26, -351.71, -1.00,
07/06/15 ,21:25 ,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , 8.65, 2.86, -24.72,,
07/06/15 ,21:25 ,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,,, 34.97,,
07/06/15 ,21:25 ,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,,, -341.46, -1.00, 61875.95
07/06/15 ,23:13 ,FP #2S ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  , 128.06, 2.71, -347.05, -1.00,
07/06/15 ,23:13 ,FP OTH ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  , 5.09, 2.75, -13.98,,
07/06/15 ,23:13 ,FP Discount ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  ,,, 30.48,,
07/06/15 ,23:13 ,FP TOTAL ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  ,,, -330.55, -1.00, 61544.40
