Date,No.,Description,Debit,Credit
8/3/2015,4252,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,152,
8/3/2015,4252,ALL KINDS OF STORAGE 563-726-3337 IA 52804 US,41.73,
8/5/2015,4252,EXPEDIA*1112987792175 EXPEDIA.COM NV 89144 US,51.97,
8/5/2015,4252,ROBINSON SEILER & ANDER PROVO UT 84604 US,300,
8/6/2015,4252,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,87.5,
8/6/2015,4252,TRAVEL CENTERS #193 ALDA NE 68810 US,228.66,
8/8/2015,4252,AUTOZONE # 3435 FIRESTONE CO 80504 US,150.37,
8/15/2015,4180,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,39.23,
8/17/2015,6977,AMERICAN AI 0012308409023 DALLAS TX 85034 US,407.6,
8/18/2015,6977,OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US,145.53,
8/18/2015,4252,OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US,143.23,
8/19/2015,6977,FRONTIER AI WB2HMA 720-3744390 CO 80249 US,85,
8/20/2015,6977,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,56.5,
8/20/2015,6977,FEDEXOFFICE 00006056 ST CLOUD MN 56301 US,13.42,
8/22/2015,6977,OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US,86.23,
8/24/2015,6977,UNITED 0162461281364 800-932-2732 TX 77002 US,280.6,
8/24/2015,4180,UNITED 0162602721783 800-932-2732 TX 77002 US,25,
8/24/2015,4180,AMERICAN AI 0012308803027 DALLAS TX 85034 US,217.6,
8/25/2015,6977,FEDEXOFFICE 00055962 OREM UT 84058 US,18.08,
8/25/2015,4252,CAPITAL ONE ONLINE PYMT AuthDate 25-AUG,,5000
8/26/2015,6977,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,301,
8/27/2015,6977,SAPP BROS SERVICE CENT SALT LAKE CIT UT 84104 US,463.71,
8/28/2015,6977,GOOGLE *Google Storage GOOGLE.COM/CH CA 94043 US,1.99,
8/29/2015,6977,GLEN'S LOCK & KEY 801-3551000 UT 84111 US,16.03,
8/31/2015,6977,UNITED 0162462046413 800-932-2732 TX 77002 US,339.6,
8/31/2015,6977,USAIRWAYS 0372414994357 800-428-4322 AZ 85034 US,282.6,
8/31/2015,4252,ALK*TECH - PCMILER 609-683-0220 NJ 08540 US,69.95,
