Date,No.,Description,Debit,Credit
8/31/2015,8903,POSTSCAN MAIL 800-6245866 CA 92801 US,29.9,
8/31/2015,8903,POSTSCAN MAIL 800-6245866 CA 92801 US,19.95,
8/31/2015,8903,POSTSCAN MAIL 800-6245866 CA 92801 US,29.9,
8/31/2015,8903,POSTSCAN MAIL 800-6245866 CA 92801 US,29.9,
8/31/2015,8903,POSTSCAN MAIL 800-6245866 CA 92801 US,24.9,
8/31/2015,8903,POSTSCAN MAIL 800-6245866 CA 92801 US,24.9,
8/31/2015,106,EXPEDIA*1115526225165 EXPEDIA.COM NV 89144 US,59.61,
8/31/2015,106,TRANSPORT SERVICE CENTER WINONA MS 38967 US,123.05,
8/31/2015,2583,PETRO #362 YORK YORK NE 68467 US,65.19,
8/31/2015,710,WIX.COM*112393485 800-6000949 NY 10011 US,31.9,
