Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/21/2015,,Alliance Payoff MMA to LOC Sweep,-4802.59,856.04,,
7/21/2015,,POS Payment CASH WELLS FARGO C/A # LINDON UT #6927,-1536.39,-680.35,,
7/21/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-7.58,-687.93,,
7/21/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-685.24,-1373.17,,
7/21/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-2497.73,-3870.9,,
7/21/2015,,Alliance Payoff LOC to MMA Sweep,4802.59,931.69,,
7/21/2015,,Daily Ledger Bal,,931.69,,
7/23/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1000,1931.69,,
7/23/2015,,Daily Ledger Bal,,1931.69,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,3931.69,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3000,6931.69,,
7/24/2015,,Daily Ledger Bal,,6931.69,,
7/27/2015,,Other Withdrawal ADP PAYROLL FEES ADP - FEES,-64.55,6867.14,,
7/27/2015,,Other Withdrawal EXT TRF ONLINE,-1924.8,4942.34,,
7/27/2015,,Daily Ledger Bal,,4942.34,,
7/28/2015,,Withdrawal ADP TX/FINCL SVC ADP - TAX,-604.5,4337.84,,
7/28/2015,,Withdrawal ADP TX/FINCL SVC ADP - TAX,-2310.04,2027.8,,
7/28/2015,,Withdrawal ADP TX/FINCL SVC ADP - TAX,-6.93,2020.87,,
