"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
07/20/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-6.85,5865.91,,
07/20/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-858.09,5007.82,,
07/20/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-2845.63,2162.19,,
07/20/2015,,"Daily Ledger Bal",,2162.19,,
07/21/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",1000,3162.19,,
07/21/2015,,"Alliance Payoff MMA to LOC Sweep",-3763.12,-600.93,,
07/21/2015,,"Alliance Payoff LOC to MMA Sweep",3763.12,3162.19,,
07/21/2015,,"Daily Ledger Bal",,3162.19,,
07/22/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-4.03,3158.16,,
07/22/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-833.07,2325.09,,
07/22/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-1364.03,961.06,,
07/22/2015,,"Daily Ledger Bal",,961.06,,
07/23/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",20000,20961.06,,
07/23/2015,,"Daily Ledger Bal",,20961.06,,
07/24/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",1000,21961.06,,
07/24/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2200,24161.06,,
07/24/2015,,"IB Debit IB TR TO ACCT *0817 Transfer Online from",-1000,23161.06,,
07/24/2015,,"ACH Withdrawal ADP PAYROLL FEES ADP - FEES",-41.5,23119.56,,
07/24/2015,,"ACH Withdrawal CAPITAL ONE ONLINE PMT",-20000,3119.56,,
07/24/2015,,"Daily Ledger Bal",,3119.56,,
07/27/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-4,3115.56,,
07/27/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-306,2809.56,,
07/27/2015,,"ACH Withdrawal ADP TX/FINCL SVC ADP - TAX",-1847,962.56,,
07/27/2015,,"Daily Ledger Bal",,962.56,,
