"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
10/26/2015,,"ACH Payment ADP TX/FINCL SVC ADP - TAX",-1.73,20038.97,,
10/26/2015,,"ACH Payment ADP TX/FINCL SVC ADP - TAX",-116.91,19922.06,,
10/26/2015,,"ACH Payment ADP TX/FINCL SVC ADP - TAX",-609.38,19312.68,,
10/26/2015,,"IB Transfer W/D IB TR TO ACCT *0306 Transfer Online from",-2201,17111.68,,
10/26/2015,,"ACH Payment BEST PASS INC. PAYMENT",-2764.29,14347.39,,
10/26/2015,,"IB Transfer W/D IB TR TO ACCT *9306 Transfer Online from",-4001,10346.39,,
10/26/2015,,"Wire Payment EFS (Coop)",-10000,346.39,,
10/26/2015,,"Daily Ledger Bal",,346.39,,
10/27/2015,7621325600,"Guaranteed Check",15000,15346.39,,
10/27/2015,,"IB Transfer W/D IB TR TO ACCT *0817 Transfer Online from",-101,15245.39,,
10/27/2015,,"IB Transfer W/D IB TR TO ACCT *0306 Transfer Online from",-501,14744.39,,
10/27/2015,,"IB Transfer W/D IB TR TO ACCT *9315 Transfer Online from",-2001,12743.39,,
10/27/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-4001,8742.39,,
10/27/2015,,"Daily Ledger Bal",,8742.39,,
10/28/2015,58009287,"Guaranteed Check",538.75,9281.14,,
10/28/2015,7621327416,"Guaranteed Check",15000,24281.14,,
10/28/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-2001,22280.14,,
10/28/2015,,"IB Transfer W/D IB TR TO ACCT *0306 Transfer Online from",-2002,20278.14,,
10/28/2015,,"Daily Ledger Bal",,20278.14,,
10/29/2015,7621328385,"Guaranteed Check",15000,35278.14,,
10/29/2015,,"IB Transfer W/D IB TR TO ACCT *0817 Transfer Online from",-601,34677.14,,
10/29/2015,,"IB Transfer W/D IB TR TO ACCT *9306 Transfer Online from",-2001,32676.14,,
10/29/2015,,"ACH Payment CAPITAL ONE ONLINE PMT",-2005,30671.14,,
10/29/2015,,"Wire Payment EFS (Coop)",-3000,27671.14,,
10/29/2015,,"IB Transfer W/D IB TR TO ACCT *0306 Transfer Online from",-12001,15670.14,,
