"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
11/16/2015,58010881,"Guaranteed Check",3170.84,-13259.97,,
11/16/2015,58010879,"Guaranteed Check",5368.8,-7891.17,,
11/16/2015,58010878,"Guaranteed Check",7820.26,-70.91,,
11/16/2015,58010880,"Guaranteed Check",7997,7926.09,,
11/16/2015,7621364531,"Guaranteed Check",10000,17926.09,,
11/16/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-1.82,17924.27,,
11/16/2015,,"IB Transfer W/D IB TR TO ACCT *0720 Transfer Online from",-60,17864.27,,
11/16/2015,,"ACH Payment ADP Tax/401k Tax/401k",-124.22,17740.05,,
11/16/2015,,"ACH Payment ADP EEPAY/GARNWC EEPAY/GARN",-636.82,17103.23,,
11/16/2015,,"Wire Payment EFS (Coop)",-13000,4103.23,,
11/16/2015,,"Daily Ledger Bal",,4103.23,,
11/17/2015,58011123,"Guaranteed Check",686.5,4789.73,,
11/17/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-301,4488.73,,
11/17/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-1051,3437.73,,
11/17/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-2001,1436.73,,
11/17/2015,,"Daily Ledger Bal",,1436.73,,
11/18/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-501,935.73,,
11/18/2015,,"IB Transfer W/D IB TR TO ACCT *0817 Transfer Online from",-701,234.73,,
11/18/2015,,"IB Transfer W/D IB TR TO ACCT *9315 Transfer Online from",-2350,-2115.27,,
11/18/2015,,"Wire Payment EFS (Coop)",-3001,-5116.27,,
11/18/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-3101,-8217.27,,
11/18/2015,,"Daily Ledger Bal",,-8217.27,,
11/19/2015,58011382,"Guaranteed Check",5178.1,-3039.17,,
11/19/2015,58011383,"Guaranteed Check",6054.75,3015.58,,
11/19/2015,58011381,"Guaranteed Check",6645.75,9661.33,,
11/19/2015,,"IB Transfer W/D IB TR TO ACCT *0108 Transfer Online from",-501,9160.33,,
11/19/2015,,"IB Transfer W/D IB TR TO ACCT *0306 Transfer Online from",-14001,-4840.67,,
11/19/2015,,"Daily Ledger Bal",,-4840.67,,
11/20/2015,58011502,"Guaranteed Check",5799.61,958.94,,
11/20/2015,58011501,"Guaranteed Check",7997,8955.94,,
