Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-5267.49,6754.8,,
7/31/2015,,Accr Earning Pymt Added to Account,3.86,6758.66,,
7/31/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-4.99,6753.67,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,5267.49,12021.16,,
7/31/2015,,Daily Ledger Bal,,12021.16,,
8/3/2015,,ACH Withdrawal ACH PAYMENT GE CAPITAL,-2886.81,9134.35,,
8/3/2015,,ACH Withdrawal ACH PAYMENT GE CAPITAL,-2886.81,6247.54,,
8/3/2015,,ACH Withdrawal ACH PAYMENT GE CAPITAL,-2886.81,3360.73,,
8/3/2015,,Daily Ledger Bal,,3360.73,,
8/4/2015,,Alliance Payoff MMA to LOC Sweep,-10024.18,-8747.62,,
8/4/2015,,IB Debit IB TR TO ACCT *0720 Transfer Online from,-778.75,-9526.37,,
8/4/2015,6,Check,-585,-10111.37,,
8/4/2015,,Alliance Payoff LOC to MMA Sweep,10024.18,-87.19,,
8/4/2015,,Daily Ledger Bal,,-87.19,,
8/5/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,100,2096.98,,
8/5/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3000,5096.98,,
8/5/2015,,ACH Withdrawal BEST PASS INC. PAYMENT,-2084.17,3012.81,,
8/5/2015,,Over Limit Charge Item(s) Presented 08/04/2015,-20,2992.81,,
8/5/2015,,Daily Ledger Bal,,2992.81,,
8/6/2015,6,Check Returned,585,3577.8,,
8/6/2015,,Accr Earn Credit Adj EFF 08/04/2015 - 585.00,0.01,3577.81,,
8/6/2015,,Daily Ledger Bal,,3577.81,,
8/7/2015,,IB Transfer Deposit IB TR FROM ACCT *0306 Transfer Online to D,3000,6577.81,,
8/7/2015,7,Check,-585,5992.81,,
8/7/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-12.04,5980.77,,
8/7/2015,,Daily Ledger Bal,,5980.77,,
8/10/2015,,ACH Withdrawal EXT TRF ONLINE,-729,5251.77,,
8/10/2015,,ACH Withdrawal ACH PAYMENT GE CAPITAL,-2995.6,2256.17,,
8/10/2015,,Daily Ledger Bal,,2256.17,,
8/11/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3000,5256.17,,
8/11/2015,,Alliance Payoff MMA to LOC Sweep,-6425.81,-1169.64,,
8/11/2015,,Alliance Payoff LOC to MMA Sweep,6425.81,5256.17,,
8/11/2015,,Daily Ledger Bal,,5256.17,,
8/12/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,7256.17,,
8/12/2015,,IB Debit IB TR TO ACCT *1294 Transfer Online from,-2000,5256.17,,
8/12/2015,8,Check,-770,4486.17,,
8/12/2015,,ACH Withdrawal EXT TRF ONLINE,-350,4136.17,,
8/12/2015,,Daily Ledger Bal,,4136.17,,
8/14/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-7.34,4128.83,,
8/16/2015,,Analysis Charge 07 2015 Charge,-13.6,4115.23,,
8/16/2015,,Daily Ledger Bal,,4115.23,,
8/17/2015,,ACH Withdrawal EXT TRF ONLINE,-749.25,3365.98,,
8/17/2015,,Daily Ledger Bal,,3365.98,,
8/18/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1100,4465.98,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-5808.52,-1342.54,,
8/18/2015,,ACH Withdrawal BEST PASS INC. PAYMENT,-1918.33,-3260.87,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,5808.52,2547.65,,
8/18/2015,,Daily Ledger Bal,,2547.65,,
8/20/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2350,4897.65,,
8/20/2015,9,Check,-658.08,4239.57,,
8/20/2015,,ACH Withdrawal EXT TRF ONLINE,-350,3889.57,,
8/20/2015,,Daily Ledger Bal,,3889.57,,
8/24/2015,,ACH Withdrawal EXT TRF ONLINE TRF,-783,3106.57,,
8/24/2015,,Daily Ledger Bal,,3106.57,,
8/25/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2351,5457.57,,
8/25/2015,,Alliance Payoff MMA to LOC Sweep,-5207.56,250.01,,
8/25/2015,,IB Debit IB TR TO ACCT *1294 Transfer Online from,-2000,-1749.99,,
8/25/2015,,ACH Withdrawal EXT TRF ONLINE TRF,-350,-2099.99,,
8/25/2015,,ACH Withdrawal BEST PASS INC. PAYMENT,-1066.48,-3166.47,,
8/25/2015,,Alliance Payoff LOC to MMA Sweep,5207.56,2041.09,,
8/25/2015,,Daily Ledger Bal,,2041.09,,
8/31/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,9000,11041.09,,
8/31/2015,,Accr Earning Pymt Added to Account,0.92,11042.01,,
8/31/2015,,Daily Ledger Bal,,11042.01,,
