Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/14/2015,58002621,Guaranteed Check,391,15100.92,,
8/14/2015,58002619,Guaranteed Check,4232.5,19333.42,,
8/14/2015,58002618,Guaranteed Check,4897.37,24230.79,,
8/14/2015,58002620,Guaranteed Check,5700.15,29930.94,,
8/14/2015,7552556185,Guaranteed Check,20000,49930.94,,
8/14/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-2200,47730.94,,
8/14/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-3200,44530.94,,
8/14/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-5600,38930.94,,
8/14/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,38889.44,,
8/14/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-10000,28889.44,,
8/14/2015,,Wire Out EFS (Coop),-5000,23889.44,,
8/16/2015,,Analysis Charge 07 2015 Charge,-153.32,23736.12,,
8/16/2015,,Daily Ledger Bal,,23736.12,,
8/17/2015,,IB Transfer Deposit IB TR FROM ACCT *2816 Transfer Online to D,4690,28426.12,,
8/17/2015,,IB Debit IB TR TO ACCT *0720 Transfer Online from,-500,27926.12,,
8/17/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-850,27076.12,,
8/17/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-1000,26076.12,,
8/17/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-2000,24076.12,,
8/17/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-2400,21676.12,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1.74,21674.38,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-117.16,21557.22,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-610.32,20946.9,,
8/17/2015,,Wire Out EFS (Coop),-12000,8946.9,,
8/17/2015,,Daily Ledger Bal,,8946.9,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-74294.89,-65347.99,,
8/18/2015,,IB Debit IB TR TO ACCT *9315 Transfer Online from,-1100,-66447.99,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,74294.89,7846.9,,
8/18/2015,,Daily Ledger Bal,,7846.9,,
8/19/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-2000,5846.9,,
8/19/2015,,Daily Ledger Bal,,5846.9,,
8/20/2015,5373956,Guaranteed Check,940,6786.9,,
8/20/2015,5373976,Guaranteed Check,1000,7786.9,,
8/20/2015,5373965,Guaranteed Check,1000,8786.9,,
8/20/2015,5373973,Guaranteed Check,1000,9786.9,,
8/20/2015,5373974,Guaranteed Check,1000,10786.9,,
8/20/2015,5373969,Guaranteed Check,1000,11786.9,,
8/20/2015,7552563432,Guaranteed Check,20000,31786.9,,
8/20/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-1005,30781.9,,
8/20/2015,,IB Debit IB TR TO ACCT *1294 Transfer Online from,-2000,28781.9,,
8/20/2015,,IB Debit IB TR TO ACCT *9315 Transfer Online from,-2350,26431.9,,
8/20/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-12001,14430.9,,
8/20/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-4000,10430.9,,
8/20/2015,,Wire Out Fletchers Catchers,-1520,8910.9,,
8/20/2015,,Daily Ledger Bal,,8910.9,,
8/21/2015,58003297,Guaranteed Check,2178.77,11089.67,,
8/21/2015,58003299,Guaranteed Check,4035.5,15125.17,,
8/21/2015,58003298,Guaranteed Check,4680.67,19805.84,,
8/21/2015,7552566313,Guaranteed Check,20000,39805.84,,
8/21/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-2200,37605.84,,
8/21/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-3200,34405.84,,
8/21/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-4200,30205.84,,
8/21/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-12.04,30193.8,,
8/21/2015,,ACH Withdrawal PAYX-PIA-WC WC-PREMIUM,-24.62,30169.18,,
8/21/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,30127.68,,
8/21/2015,,ACH Withdrawal NATIONAL INDEMNI NATL INDEM,-2549.16,27578.52,,
8/21/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-5000,22578.52,,
8/21/2015,,Wire Out EFS (Coop),-5000,17578.52,,
8/21/2015,,Daily Ledger Bal,,17578.52,,
8/24/2015,,ACH Deposit EXT TRF ONLINE,2800,20378.52,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1.43,20377.09,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-91.17,20285.92,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-507.23,19778.69,,
8/24/2015,,Wire Out EFS (Coop),-11000,8778.69,,
8/24/2015,,Daily Ledger Bal,,8778.69,,
8/25/2015,7552572716,Guaranteed Check,35000,43778.69,,
8/25/2015,,Alliance Payoff MMA to LOC Sweep,-85556.15,-41777.46,,
8/25/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-999,-42776.46,,
8/25/2015,,IB Debit IB TR TO ACCT *9315 Transfer Online from,-2351,-45127.46,,
8/25/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-3501,-48628.46,,
8/25/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-5001,-53629.46,,
8/25/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-15001,-68630.46,,
8/25/2015,,Alliance Payoff LOC to MMA Sweep,85556.15,16925.69,,
8/25/2015,,Daily Ledger Bal,,16925.69,,
8/26/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-10000,6925.69,,
8/26/2015,,Daily Ledger Bal,,6925.69,,
8/27/2015,7552575973,Guaranteed Check,25000,31925.69,,
8/27/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-1001,30924.69,,
8/27/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-8001,22923.69,,
8/27/2015,,Daily Ledger Bal,,22923.69,,
8/28/2015,7552578530,Guaranteed Check,10000,32923.69,,
8/28/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-2200,30723.69,,
8/28/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-3000,27723.69,,
8/28/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-3001,24722.69,,
8/28/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-5200,19522.69,,
8/28/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-12.65,19510.04,,
8/28/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,19468.54,,
8/28/2015,,Wire Out EFS (Coop),-5000,14468.54,,
8/28/2015,,Daily Ledger Bal,,14468.54,,
8/31/2015,7581252092,Guaranteed Check,10000,24468.54,,
8/31/2015,,Alliance Payoff MMA to LOC Sweep,-58085.98,-33617.44,,
8/31/2015,,Accr Earning Pymt Added to Account,2.8,-33614.64,,
8/31/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-791,-34405.64,,
8/31/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-2160,-36565.64,,
8/31/2015,,IB Debit IB TR TO ACCT *9315 Transfer Online from,-9000,-45565.64,,
