"Date","No.","Description","Debit","Credit"
"7/30/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","1000.00",""
"7/30/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 30-JUL","","12000.00"
"7/31/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","720.56",""
"8/1/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","7651.31",""
"8/1/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1023.14",""
"8/4/2015","0794","TIRE-RAMA - SULLIVAN SPOKANE VLY WA 99216 US","1217.36",""
"8/4/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 04-AUG","","15000.00"
"8/5/2015","0794","HARBOR FREIGHT TOOLS 43 OREM UT 84057 US","95.58",""
"8/5/2015","0794","HARBOR FREIGHT TOOLS 43 OREM UT 84057 US","25.41",""
"8/5/2015","0794","THE HOME DEPOT 4407 LINDON UT 84042 US","31.92",""
"8/5/2015","0794","FASTENAL COMPANY01 AMERICAN FORK UT 84003 US","81.74",""
"8/5/2015","6424","MATHESON COURT PARKING SALT LAKE CIT UT 84114 US","2.00",""
"8/5/2015","6424","STATE LAW LIBRARY SALT LAKE CIT UT 84114 US","15.00",""
"8/8/2015","0794","TA #181 MILL CITY MILL CITY NV 89418 US","335.49",""
"8/8/2015","0794","TA #183 TROUTDALE TROUTDALE OR 97060 US","44.40",""
"8/8/2015","0794","UTILITY TRAILER SALES 888-9734040 UT 84120 US","400.22",""
"8/8/2015","6424","K B D LEASING 503-8606592 OR 97402 US","5800.00",""
"8/11/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1274.11",""
"8/11/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","8108.93",""
"8/11/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","1000.00",""
"8/11/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","720.56",""
"8/12/2015","0794","HARBOR FREIGHT TOOLS 43 OREM UT 84057 US","39.93",""
"8/12/2015","0794","MAIN TIRE AND SERVICE SALT LAKE CIT UT 84104 US","2399.79",""
"8/12/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 12-AUG","","5000.00"
"8/13/2015","6424","THE HOME DEPOT 4407 LINDON UT 84042 US","119.86",""
"8/13/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 13-AUG","","10000.00"
"8/15/2015","0794","NVCOURT*7287108 800-228-6081 NV 89155 US","233.19",""
"8/15/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","8086.23",""
"8/15/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","1000.00",""
"8/15/2015","6424","THE HOME DEPOT 4407 LINDON UT 84042 US","","30.98"
"8/15/2015","6424","THE HOME DEPOT 4407 LINDON UT 84042 US","8.51",""
"8/17/2015","6424","THE HOME DEPOT 4407 LINDON UT 84042 US","210.29",""
"8/18/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1329.28",""
"8/18/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","720.56",""
"8/18/2015","6424","UTILITY TRAILER SALES SALT LAKE CIT UT 84120 US","242.51",""
