"Date","No.","Description","Debit","Credit"
"7/18/2015","3066","THE HOME DEPOT 4407 LINDON UT 84042 US","20.19",""
"7/20/2015","3066","EXPEDIA*1111313527957 EXPEDIA.COM NV 89144 US","19.00",""
"7/20/2015","3066","EXPEDIA*1111314544084 EXPEDIA.COM NV 89144 US","69.22",""
"7/20/2015","3066","SPIRIT AIRL 4870115226829 MIRAMAR FL 33025 US","138.09",""
"7/20/2015","3066","HOLIDAY OIL #15 OREM UT 84057 US","6.07",""
"7/20/2015","3066","UNITED 0167666037579 800-932-2732 TX 77002 US","220.60",""
"7/20/2015","3066","VCN*NM TAX&REV/GALLUP MENTMORE NM 87319 US","59.20",""
"7/21/2015","3066","WM SUPERCENTER #5270 LINDON UT 84042 US","184.28",""
"7/22/2015","3066","GREYHOUND LINES CNP 214-849-8966 TX 75201 US","62.50",""
"7/22/2015","4252","EXPEDIA*1111538201900 EXPEDIA.COM NV 89144 US","88.66",""
"7/22/2015","4252","TRAVEL INSURANCE POLICY 800-729-6021 VA 23294 US","17.50",""
"7/23/2015","3066","EXPEDIA*1111637992451 EXPEDIA.COM NV 89144 US","19.00",""
"7/23/2015","3066","UNITED 0167666621717 800-932-2732 TX 77002 US","233.60",""
"7/23/2015","3066","FIVE STAR STORAGE WEST WEST FARGO ND 58078 US","89.19",""
"7/23/2015","3066","USBIRTHCERTIFICATE COM 713-6298330 TX 77063 US","74.00",""
"7/23/2015","4252","EXPEDIA*1111623777790 EXPEDIA.COM NV 89144 US","57.58",""
"7/23/2015","4252","USAIRWAYS 0372410768855 800-428-4322 AZ 85034 US","140.10",""
"7/23/2015","4252","CAPITAL ONE ONLINE PYMT AuthDate 23-JUL","","1000.00"
"7/24/2015","3066","EXPEDIA*1111747335435 EXPEDIA.COM NV 89144 US","20.00",""
"7/24/2015","3066","AMERICAN AI 0017666917411 BELLEVUE WA 85034 US","288.60",""
"7/25/2015","3066","VCN*ILLINOIS VITAL REC 888-4121838 IL 62702 US","47.45",""
