"Date","No.","Description","Debit","Credit"
"7/18/2015","1138","TRAVEL CENTERS #193 ALDA NE 68810 US","60.10",""
"7/18/2015","2583","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","5036.00",""
"7/18/2015","7952","PFS*PREMIUM PAYMENT 800-394-0829 MO 64105 US","1381.59",""
"7/18/2015","2423","EXPEDIA*1111220367166 EXPEDIA.COM NV 89144 US","73.94",""
"7/18/2015","2423","QUALITY TIRE COMPA OREM UT 84057 US","350.48",""
"7/20/2015","9356","CROSSFIT LEHI 801-6183390 UT 84043 US","100.00",""
"7/20/2015","7952","WIX.COM*111386966 800-6000949 NY 10011 US","19.90",""
"7/20/2015","0106","XPRESS SHUTTLE 9092434290 CA 91730 US","162.00",""
"7/20/2015","2583","SPIRIT AIRL 4870115269641 MIRAMAR FL 33025 US","139.00",""
"7/20/2015","2583","TA # 39 COLUMBUS E HEBRON OH 43025 US","88.44",""
"7/20/2015","2583","PETRO #321 EFFINGHAM EFFINGHAM IL 62401 US","60.67",""
"7/20/2015","7952","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","1491.78",""
