"Date","No.","Description","Debit","Credit"
"7/29/2015","4252","0093 - MOTEL 6 TACOMA WA 98424 US","78.80",""
"7/30/2015","3066","EXPEDIA*1112330075554 EXPEDIA.COM NV 89144 US","19.00",""
"7/30/2015","3066","USAIRWAYS 0377668311303 BELLEVUE WA 85034 US","192.10",""
"7/30/2015","4252","ALK*TECH - PCMILER 609-683-0220 NJ 08540 US","69.95",""
"8/3/2015","4252","GREYHOUND LINES CNP 214-849-8966 TX 75201 US","152.00",""
"8/3/2015","4252","ALL KINDS OF STORAGE 563-726-3337 IA 52804 US","41.73",""
"8/5/2015","4252","EXPEDIA*1112987792175 EXPEDIA.COM NV 89144 US","51.97",""
"8/5/2015","4252","ROBINSON SEILER & ANDER PROVO UT 84604 US","300.00",""
"8/6/2015","4252","GREYHOUND LINES CNP 214-849-8966 TX 75201 US","87.50",""
"8/6/2015","4252","TRAVEL CENTERS #193 ALDA NE 68810 US","228.66",""
"8/8/2015","4252","AUTOZONE # 3435 FIRESTONE CO 80504 US","150.37",""
"8/15/2015","4180","GREYHOUND LINES CNP 214-849-8966 TX 75201 US","39.23",""
"8/17/2015","6977","AMERICAN AI 0012308409023 DALLAS TX 85034 US","407.60",""
"8/18/2015","6977","OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US","145.53",""
"8/18/2015","4252","OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US","143.23",""
