"Date","No.","Description","Debit","Credit"
"7/24/2015","8446","EXXONMOBIL 47263868 OREM UT 84057 US","55.70",""
"7/24/2015","8446","EXXONMOBIL 48075410 AMERICAN FORK UT 84003 US","23.00",""
"7/24/2015","0405","DESERET DIGITAL MEDIA 801-333-7400 UT 84101 US","75.00",""
"7/24/2015","2788","WWW CALLFIRE COM 213-221-2289 CA 90401 US","1.00",""
"7/25/2015","8446","SALT LAKE EXPRESS 2083569796 ID 83440 US","145.00",""
"7/25/2015","2788","ARV*ARVIXE 888-9278493 CA 94566 US","9.91",""
"7/27/2015","8446","GREYHOUND LINES CNP 214-849-8966 TX 75201 US","144.50",""
"7/27/2015","8446","EXXONMOBIL 47263868 OREM UT 84057 US","27.00",""
"7/27/2015","8446","SUBWAY 00492215 OREM UT 84057 US","17.36",""
"7/28/2015","8446","7 ELEVEN 36334 DALLAS TX LINDON UT 84042 US","15.00",""
"7/28/2015","8446","WAL-MART #5270 LINDON UT 84042 US","108.65",""
"7/29/2015","8446","COMCAST SALT LKE CS 1X 800-266-2278 UT 84070 US","117.80",""
"7/30/2015","8446","TRAVEL CAR SERVICE 801-8540000 UT 84058 US","25.00",""
"7/30/2015","8446","EXXONMOBIL 47263868 OREM UT 84057 US","25.00",""
"7/30/2015","8446","FACEBOOK 4M95Z7A3D2 650-6187714 CA 94025 US","25.01",""
"7/30/2015","0405","DESERET DIGITAL MEDIA 801-333-7400 UT 84101 US","120.00",""
"7/30/2015","0405","DESERET DIGITAL MEDIA 801-333-7400 UT 84101 US","195.00",""
"7/31/2015","8446","CHEVRON 00207025 OREM UT 84057 US","45.00",""
"7/31/2015","8446","EMBARK SAFETY LLC 4075367233 FL 32826 US","35.35",""
"7/31/2015","8446","EXXONMOBIL 48075410 AMERICAN FORK UT 84003 US","21.00",""
"8/1/2015","8446","FACEBOOK PA4Q98S3D2 650-6187714 CA 94025 US","13.38",""
"8/1/2015","8446","EXXONMOBIL 47263868 OREM UT 84057 US","30.00",""
"8/3/2015","0405","2CO.COM*INSTPROXY 614-921-2449 OH 43215 US","10.00",""
"8/4/2015","8446","WAL-MART #5270 LINDON UT 84042 US","120.22",""
"8/4/2015","8446","PYL*AMC 866-7295327 UT 84047 US","1214.36",""
"8/4/2015","8446","WM SUPERCENTER #5270 LINDON UT 84042 US","93.43",""
