Date,No.,Description,Debit,Credit
7/28/2015,8446,7 ELEVEN 36334 DALLAS TX LINDON UT 84042 US,15,
7/28/2015,8446,WAL-MART #5270 LINDON UT 84042 US,108.65,
7/29/2015,8446,COMCAST SALT LKE CS 1X 800-266-2278 UT 84070 US,117.8,
7/30/2015,8446,TRAVEL CAR SERVICE 801-8540000 UT 84058 US,25,
7/30/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,25,
7/30/2015,8446,FACEBOOK 4M95Z7A3D2 650-6187714 CA 94025 US,25.01,
7/30/2015,0405,DESERET DIGITAL MEDIA 801-333-7400 UT 84101 US,120,
7/30/2015,0405,DESERET DIGITAL MEDIA 801-333-7400 UT 84101 US,195,
7/31/2015,8446,CHEVRON 00207025 OREM UT 84057 US,45,
7/31/2015,8446,EMBARK SAFETY LLC 4075367233 FL 32826 US,35.35,
7/31/2015,8446,EXXONMOBIL 48075410 AMERICAN FORK UT 84003 US,21,
8/1/2015,8446,FACEBOOK PA4Q98S3D2 650-6187714 CA 94025 US,13.38,
8/1/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,30,
