Date,No.,Description,Debit,Credit
7/22/2015,1481,USPS 49700401634502781 PLEASANT GROV UT 84062 US,5.75,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,49.81,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,8.79,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,58.6,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,52.74,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,87.9,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,87.9,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,61.53,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,38.09,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,58.6,
7/22/2015,9356,RINGCENTRAL INC 650-4724100 CA 94002 US,20.51,
7/22/2015,9356,HOLIDAY OIL # 54 PLEASANT GROV UT 84062 US,3.77,
7/22/2015,7952,PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US,1066.98,
7/22/2015,7952,VIRTUALPOSTMAIL.COM 909-235-6245 CA 91789 US,30,
7/23/2015,8673,DAT SOLUTIONS 800-328-530 800-3285302 OR 97008 US,149,
7/23/2015,2794,CARRIER TRANSICO 919-661-1186 NC 28262 US,1537.28,
7/23/2015,2730,THE HOME DEPOT 4407 LINDON UT 84042 US,50,
7/23/2015,2730,THE HOME DEPOT 4407 LINDON UT 84042 US,28.38,
7/23/2015,2730,FEDEXOFFICE 00055962 OREM UT 84058 US,9.08,
7/23/2015,9356,AmazonPrime Membership amzn.com/prme NV 89450 US,99,
7/23/2015,7952,WIX.COM*111484647 800-6000949 NY 10011 US,12.95,
7/23/2015,7952,WIX.COM*111471020 800-6000949 NY 10011 US,10.95,
7/23/2015,2423,FEDEXOFFICE 00004218 DES MOINES IA 50309 US,12.47,
7/23/2015,9356,CAPITAL ONE ONLINE PYMT AuthDate 23-JUL,,20000
7/24/2015,2794,HOLIDAY OIL # 54 PLEASANT GROV UT 84062 US,4.88,
7/24/2015,2794,TA # 10 GARY GARY IN 46406 US,347.55,
7/24/2015,2730,THE HOME DEPOT 4407 LINDON UT 84042 US,78.72,
7/24/2015,2730,THE HOME DEPOT 4407 LINDON UT 84042 US,,7.26
7/24/2015,2730,USPS 49700401634502781 PLEASANT GROV UT 84062 US,5.75,
7/24/2015,7952,EXPEDIA*1111783997957 EXPEDIA.COM NV 89144 US,21,
7/24/2015,7952,AMERICAN AI 0017667037745 BELLEVUE WA 85034 US,293.6,
7/24/2015,7952,USAIRWAYS 0372410961776 800-428-4322 AZ 85034 US,60,
7/24/2015,7952,NATIONAL INDEMNITY CO 866-920-5220 NE 68131 US,1381,
