"Date","No.","Description","Debit","Credit"
"7/31/2015","1138","TA # 10 GARY GARY IN 46406 US","335.95",""
"7/31/2015","1481","USPS 49700401634502781 PLEASANT GROV UT 84062 US","5.75",""
"7/31/2015","2794","METALMART CO LEHI UT 84043 US","35.21",""
"7/31/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","1.53",""
"7/31/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","1.53",""
"7/31/2015","7952","DNH*GODADDY.COM 480-5058855 AZ 85260 US","13.17",""
"7/31/2015","0710","RINGCENTRAL INC 650-4724100 CA 94002 US","7.44",""
"7/31/2015","0710","WIX.COM*111672811 800-6000949 NY 10011 US","31.90",""
"8/1/2015","1138","CAROLINA INTL TRUCKS GREER SC 29650 US","290.69",""
"8/1/2015","1138","SAPP BROS SERVICE CENT SALT LAKE CIT UT 84104 US","70.09",""
"8/1/2015","1138","TRAVEL CTRS OF AMERICA COMMERCE CITY CO 80022 US","473.87",""
"8/1/2015","1077","DNH*GODADDY.COM 480-5058855 AZ 85260 US","17.17",""
"8/1/2015","1481","THE UPS STORE 5266 PROVO UT 84604 US","5.00",""
"8/1/2015","2794","THE HOME DEPOT 4417 AMERICAN FORK UT 84003 US","37.59",""
"8/1/2015","2794","0RIDLEY'S FAMILY MA OREM UT 84057 US","2.23",""
"8/1/2015","7952","UTAH CORPORATIONS REG 801-530-6431 UT 84114 US","22.00",""
"8/1/2015","7952","POSTSCAN MAIL 800-6245866 CA 92801 US","19.95",""
"8/1/2015","7952","DNH*GODADDY.COM 480-5058855 AZ 85260 US","15.17",""
"8/1/2015","7952","FMCSA OP1 COLLECTIO 405-954-3295 DC 20590 US","300.00",""
"8/1/2015","7952","FMCSA OP1 COLLECTIO 405-954-3295 DC 20590 US","300.00",""
"8/3/2015","1138","EXPEDIA*1112746587533 EXPEDIA.COM NV 89144 US","50.59",""
"8/3/2015","1138","SQ *GOSQ.COM CRAIG JENSEN Payette ID 83661 US","25.00",""
"8/3/2015","2794","THE HOME DEPOT 4407 LINDON UT 84042 US","65.89",""
"8/3/2015","2794","PAYPAL *HMA PRO VPN 35314369001 00000 GB","11.52",""
"8/3/2015","2583","TA # 34 NASHVILLE NASHVILLE TN 37213 US","317.70",""
"8/3/2015","7952","UTAH CORPORATIONS REG 801-530-6431 UT 84114 US","48.00",""
"8/3/2015","7952","UTAH CORPORATIONS REG 801-530-6431 UT 84114 US","22.00",""
"8/3/2015","0710","RINGCENTRAL INC 650-4724100 CA 94002 US","286.87",""
"8/3/2015","1138","AmazonPrime Membership amzn.com/prme NV 89450 US","99.00",""
"8/3/2015","2948","SEARCH LIGHT 7 801-368-5099 UT 84058 US","595.00",""
"8/3/2015","2794","SMITHS FOOD #4136 PROVO UT 84601 US","9.98",""
"8/3/2015","2583","GREYHOUND LINES CNP 214-849-8966 TX 75201 US","187.50",""
"8/3/2015","2583","VENARD INC MURDO SD 57559 US","339.20",""
"8/3/2015","7952","FLEET MANAGEMENT STRAT 999-9999999 FL 34285 US","75.00",""
"8/3/2015","7952","FLEET MANAGEMENT STRAT 999-9999999 FL 34285 US","75.00",""
"8/3/2015","0710","GOLDEN FROG INC. 512-215-4183 TX 78746 US","14.99",""
"8/3/2015","2423","OR MOTOR CARRIER DIV 503-3786699 OR 97301 US","43.23",""
"8/3/2015","2423","USAIRWAYS 0372412085341 800-428-4322 AZ 85034 US","25.00",""
"8/3/2015","2423","USAIRWAYS 0372412082808 800-428-4322 AZ 85034 US","187.10",""
"8/4/2015","1138","NETFLIX.COM NETFLIX.COM CA 95032 US","8.53",""
"8/4/2015","7952","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","6465.85",""
"8/4/2015","7952","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","5000.00",""
"8/4/2015","7952","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","","1482.78"
"8/4/2015","7952","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","","9.00"
"8/4/2015","9356","CAPITAL ONE ONLINE PYMT AuthDate 04-AUG","","15000.00"
"8/5/2015","7441","INL - ALBANY CORP 229-6393294 GA 31707 US","1079.86",""
"8/5/2015","2730","THE UPS STORE 4848 PLEASANT GROV UT 84062 US","12.79",""
"8/5/2015","2730","WM SUPERCENTER #5270 LINDON UT 84042 US","176.51",""
"8/5/2015","9356","QUESTAR GAS COMPANY 800-323-5517 UT 84145 US","29.48",""
"8/5/2015","9356","PAYFLOW/PAYPAL 888-883-9770 NE 68126 US","30.00",""
"8/5/2015","7952","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","2743.88",""
"8/5/2015","2423","OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US","17.19",""
"8/6/2015","2730","FASTENAL COMPANY01 AMERICAN FORK UT 84003 US","24.83",""
"8/6/2015","2730","ALLRED'S ACE HARDWARE PLEASANT GROV UT 84062 US","12.04",""
"8/6/2015","9356","LINDON CITY CORP 801-785-5043 UT 84042 US","658.51",""
"8/6/2015","7952","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/6/2015","2423","OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US","427.08",""
"8/6/2015","2423","TA # 58 YOUNGSTOWN YOUNGSTOWN OH 44515 US","52.14",""
"8/7/2015","1481","THE UPS STORE 4848 PLEASANT GROV UT 84062 US","12.79",""
"8/7/2015","2730","WAL-MART #5270 LINDON UT 84042 US","4.10",""
"8/7/2015","2730","THE HOME DEPOT 4407 LINDON UT 84042 US","147.18",""
"8/8/2015","2730","USPS 49700401634502781 PLEASANT GROV UT 84062 US","8.71",""
"8/8/2015","2730","WAL-MART #5270 LINDON UT 84042 US","51.16",""
"8/8/2015","9356","SUSHI HOUSE LLC AMERICAN FORK UT 84003 US","55.00",""
"8/8/2015","7952","POSTSCAN MAIL 800-6245866 CA 92801 US","19.95",""
"8/8/2015","7952","UTAH CORPORATIONS REG 801-530-6431 UT 84114 US","48.00",""
"8/8/2015","7952","NATIONAL INDEMNITY CO 866-920-5220 NE 68131 US","3497.00",""
"8/8/2015","0710","MPP 6149212450 00000 HK","87.50",""
"8/10/2015","0106","TA # 6 COLUMBIA COLUMBIA NJ 07832 US","362.62",""
"8/10/2015","2794","THE HOME DEPOT 4407 LINDON UT 84042 US","21.21",""
"8/10/2015","2794","THE HOME DEPOT 4407 LINDON UT 84042 US","11.72",""
"8/10/2015","0710","MPP 6149212450 00000 HK","174.95",""
"8/10/2015","0106","SAPP BROS SERVICE CENT CHEYENNE WY 82009 US","428.20",""
"8/10/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","2247.98",""
"8/10/2015","9356","SENAWAVE COMMUNICATION 801-2179000 UT 84119 US","195.00",""
"8/11/2015","2730","THE UPS STORE 4848 PLEASANT GROV UT 84062 US","96.79",""
"8/11/2015","9356","T-MOBILE RECURRING PMT 800-937-8997 WA 98006 US","210.55",""
"8/11/2015","9356","GOOGLE *Google Storage GOOGLE.COM/CH CA 94043 US","1.99",""
"8/11/2015","0710","MPP 6149212450 00000 HK","23.70",""
"8/12/2015","1138","HLU*Hulu 72444017-U HULU.COM/BILL CA 90064 US","7.99",""
"8/12/2015","2730","USPS 49700401634502781 PLEASANT GROV UT 84062 US","7.88",""
"8/12/2015","9356","SQ *CROWNE CENTURIO LINDON UT 84042 US","87.50",""
"8/12/2015","0582","OR MOTOR CARRIER DIV - SA 503-3786699 OR 97301 US","143.15",""
"8/12/2015","9356","CAPITAL ONE ONLINE PYMT AuthDate 12-AUG","","5000.00"
"8/13/2015","1138","AMERICAN AI 0012308185298 DALLAS TX 85034 US","233.60",""
"8/13/2015","2730","THE HOME DEPOT 4407 LINDON UT 84042 US","","73.63"
"8/13/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","","58.60"
"8/13/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","","61.53"
"8/13/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","","87.90"
"8/13/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","","87.90"
"8/13/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","","58.60"
"8/13/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","","3.47"
"8/13/2015","9356","TA BROOKLYN BROOKLYN IA 52211 US","38.46",""
"8/13/2015","7952","PFS*PREMIUM PAYMENT 800-394-0829 MO 64105 US","1381.59",""
"8/13/2015","9356","CAPITAL ONE ONLINE PYMT AuthDate 13-AUG","","10000.00"
"8/14/2015","9356","CROSSFIT LEHI 801-6183390 UT 84043 US","100.00",""
"8/14/2015","7952","DELTA AIR 0068275507547 SALT LAKE CTY UT 30354 US","25.00",""
"8/14/2015","7952","DELTA AIR 0062318674504 DELTA.COM CA 30354 US","352.10",""
"8/14/2015","7952","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/14/2015","2423","EXXONMOBIL 47876776 ROBERTS ID 83444 US","75.66",""
"8/15/2015","9356","T-MOBILE RECURRING PMT 800-937-8997 WA 98006 US","507.82",""
"8/15/2015","9356","UNITED 0162460358900 800-932-2732 TX 77002 US","156.60",""
"8/15/2015","9356","REPUBLIC SERVICES TRASH 866-576-5548 AZ 85054 US","87.65",""
"8/15/2015","0710","PRIVATEINTERNETACCESS 855-266-6876 MI 49418 US","6.95",""
"8/15/2015","0710","GOLDEN FROG INC. 512-215-4183 TX 78746 US","14.99",""
"8/17/2015","0710","ARV*ARVIXE 888-9278493 CA 94566 US","10.00",""
"8/17/2015","1138","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/17/2015","1138","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/17/2015","1138","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/17/2015","1138","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/17/2015","1138","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/17/2015","1138","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/17/2015","1138","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/17/2015","2583","AMERICAN AI 0012308414688 DALLAS TX 85034 US","287.20",""
"8/18/2015","1138","PETRO #339 SPOKANE SPOKANE WA 99224 US","48.94",""
"8/18/2015","0106","VILLAGE INN MOTEL TULARE CA 93274 US","49.50",""
"8/18/2015","2794","NATIONAL INDEMNITY CO 866-920-5220 NE 68131 US","3456.00",""
"8/19/2015","1481","THE UPS STORE 4848 PLEASANT GROV UT 84062 US","12.79",""
"8/19/2015","1481","USPS 49700401634502781 PLEASANT GROV UT 84062 US","5.75",""
"8/19/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","3.38",""
"8/19/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","3.38",""
"8/19/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","3.38",""
"8/19/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","3.38",""
"8/19/2015","9356","RINGCENTRAL INC 650-4724100 CA 94002 US","3.38",""
"8/19/2015","7952","PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US","8543.00",""
"8/19/2015","7952","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/19/2015","7952","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/19/2015","7952","POSTSCAN MAIL 800-6245866 CA 92801 US","24.90",""
"8/19/2015","2423","TRUCK ALIGN 253-8433353 WA 98580 US","524.00",""
"8/19/2015","2423","FEDEXOFFICE 00014134 LINCOLN NE 68516 US","20.07",""
"8/19/2015","9356","CAPITAL ONE ONLINE PYMT AuthDate 19-AUG","","4000.00"
"8/20/2015","1138","LINTON SERVICES INC 662-566-2277 MS 38801 US","300.00",""
"8/20/2015","9356","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA 98109 US","59.50",""
"8/20/2015","9356","CROSSFIT LEHI 801-6183390 UT 84043 US","100.00",""
"8/20/2015","9356","HOLIDAY OIL # 54 PLEASANT GROV UT 84062 US","2.75",""
"8/20/2015","7952","EMBARK SAFETY LLC 4075367233 FL 32826 US","42.50",""
"8/20/2015","7952","WIX.COM*112092517 800-6000949 NY 10011 US","19.90",""
"8/20/2015","7952","DNH*GODADDY.COM 480-5058855 AZ 85260 US","15.17",""
"8/20/2015","2423","FEDEXOFFICE 00005223 KNOXVILLE TN 37922 US","14.24",""
"8/20/2015","2423","TA #187 BURNS BURNS WY 82053 US","59.32",""
"8/20/2015","9356","CAPITAL ONE ONLINE PYMT AuthDate 20-AUG","","5000.00"
