Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/21/2015,,Alliance Payoff MMA to LOC Sweep,-66782.74,-65665.54,,
7/21/2015,3,Check,-600,-66265.54,,
7/21/2015,,Alliance Payoff LOC to MMA Sweep,66782.74,517.2,,
7/21/2015,,Daily Ledger Bal,,517.2,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D,1000,1517.2,,
7/24/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-12.41,1504.79,,
7/24/2015,,Daily Ledger Bal,,1504.79,,
7/27/2015,,Daily Ledger Bal,,-91.78,,
7/28/2015,,IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D,200,1704.79,,
7/28/2015,,IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D,600,2304.79,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-32.41,2272.38,,
7/28/2015,,Over Limit Charge Item(s) Presented 07/27/2015,-20,2252.38,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,32.41,2284.79,,
7/28/2015,,Daily Ledger Bal,,2284.79,,
7/29/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,5000,7284.79,,
7/29/2015,,IB Debit IB TR TO ACCT *1294 Transfer Online from,-4000,3284.79,,
7/29/2015,5,Check,-562.5,2722.29,,
7/29/2015,,ACH Withdrawal EXT TRF ONLINE,-700,2022.29,,
7/29/2015,,Daily Ledger Bal,,2022.29,,
7/30/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,10000,12022.29,,
7/30/2015,,Daily Ledger Bal,,12022.29,,
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-5267.49,6754.8,,
7/31/2015,,Accr Earning Pymt Added to Account,3.86,6758.66,,
7/31/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-4.99,6753.67,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,5267.49,12021.16,,
7/31/2015,,Daily Ledger Bal,,12021.16,,
8/3/2015,,ACH Payment ACH PAYMENT GE CAPITAL,-2886.81,9134.35,,
8/3/2015,,ACH Payment ACH PAYMENT GE CAPITAL,-2886.81,6247.54,,
8/3/2015,,ACH Payment ACH PAYMENT GE CAPITAL,-2886.81,3360.73,,
