Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/22/2015,,Daily Ledger Bal,,517.2,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D,1000,1517.2,,
7/24/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-12.41,1504.79,,
7/24/2015,,Daily Ledger Bal,,1504.79,,
7/27/2015,,Daily Ledger Bal,,-91.78,,
7/28/2015,,IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D,200,1704.79,,
7/28/2015,,IB Transfer Deposit IB TR FROM ACCT *0817 Transfer Online to D,600,2304.79,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-32.41,2272.38,,
7/28/2015,,Over Limit Charge Item(s) Presented 07/27/2015,-20,2252.38,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,32.41,2284.79,,
7/28/2015,,Daily Ledger Bal,,2284.79,,
7/29/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,5000,7284.79,,
7/29/2015,,IB Debit IB TR TO ACCT *1294 Transfer Online from,-4000,3284.79,,
7/29/2015,5,Check,-562.5,2722.29,,
7/29/2015,,ACH Withdrawal EXT TRF ONLINE,-700,2022.29,,
7/29/2015,,Daily Ledger Bal,,2022.29,,
7/30/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,10000,12022.29,,
7/30/2015,,Daily Ledger Bal,,12022.29,,
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-5267.49,6754.8,,
7/31/2015,,Accr Earning Pymt Added to Account,3.86,6758.66,,
7/31/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-4.99,6753.67,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,5267.49,12021.16,,
7/31/2015,,Daily Ledger Bal,,12021.16,,
8/4/2015,,Alliance Payoff MMA to LOC Sweep,-10024.18,-8747.62,,
8/4/2015,,IB Debit IB TR TO ACCT *0720 Transfer Online from,-778.75,-9526.37,,
8/4/2015,6,Check,-585,-10111.37,,
8/4/2015,,Alliance Payoff LOC to MMA Sweep,10024.18,-87.19,,
8/4/2015,,Daily Ledger Bal,,-87.19,,
8/5/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,100,2096.98,,
8/5/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3000,5096.98,,
8/5/2015,,ACH Withdrawal BEST PASS INC. PAYMENT,-2084.17,3012.81,,
8/5/2015,,Over Limit Charge Item(s) Presented 08/04/2015,-20,2992.81,,
8/5/2015,,Daily Ledger Bal,,2992.81,,
8/6/2015,6,Check Returned,585,3577.8,,
8/6/2015,,Accr Earn Credit Adj EFF 08/04/2015 - 585.00,0.01,3577.81,,
8/6/2015,,Daily Ledger Bal,,3577.81,,
8/7/2015,,IB Transfer Deposit IB TR FROM ACCT *0306 Transfer Online to D,3000,6577.81,,
8/7/2015,7,Check,-585,5992.81,,
8/7/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-12.04,5980.77,,
8/7/2015,,Daily Ledger Bal,,5980.77,,
8/10/2015,,ACH Withdrawal EXT TRF ONLINE,-729,5251.77,,
8/10/2015,,Daily Ledger Bal,,2256.17,,
8/11/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3000,5256.17,,
8/11/2015,,Alliance Payoff MMA to LOC Sweep,-6425.81,-1169.64,,
8/11/2015,,Alliance Payoff LOC to MMA Sweep,6425.81,5256.17,,
8/11/2015,,Daily Ledger Bal,,5256.17,,
8/12/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,7256.17,,
8/12/2015,,IB Debit IB TR TO ACCT *1294 Transfer Online from,-2000,5256.17,,
8/12/2015,8,Check,-770,4486.17,,
8/12/2015,,ACH Withdrawal EXT TRF ONLINE,-350,4136.17,,
8/12/2015,,Daily Ledger Bal,,4136.17,,
8/14/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-7.34,4128.83,,
8/16/2015,,Analysis Charge 07 2015 Charge,-13.6,4115.23,,
8/16/2015,,Daily Ledger Bal,,4115.23,,
8/17/2015,,ACH Withdrawal EXT TRF ONLINE,-749.25,3365.98,,
8/17/2015,,Daily Ledger Bal,,3365.98,,
8/18/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1100,4465.98,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-5808.52,-1342.54,,
8/18/2015,,ACH Withdrawal BEST PASS INC. PAYMENT,-1918.33,-3260.87,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,5808.52,2547.65,,
8/18/2015,,Daily Ledger Bal,,2547.65,,
