Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/22/2015,58000519,Guaranteed Check,400,7092.13,,
7/22/2015,58000534,Guaranteed Check,8000,15092.13,,
7/22/2015,,Daily Ledger Bal,,15092.13,,
7/23/2015,58000576,Guaranteed Check,4049,19141.13,,
7/23/2015,7497791840,Guaranteed Check,47000,66141.13,,
7/23/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-1000,65141.13,,
7/23/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-1000,64141.13,,
7/23/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-20000,44141.13,,
7/23/2015,,Daily Ledger Bal,,44141.13,,
7/24/2015,7497793936,Guaranteed Check,5000,49141.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-1000,48141.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-2000,46141.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-2200,43941.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-3000,40941.13,,
7/24/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-9200,31741.13,,
7/24/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,31699.63,,
7/24/2015,,ACH Withdrawal NATIONAL INDEMNI NATL INDEM,-569.68,31129.95,,
7/24/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-20000,11129.95,,
7/24/2015,,Wire Out EFS (Coop),-15000,-3870.05,,
7/24/2015,,Daily Ledger Bal,,-3870.05,,
7/27/2015,58000768,Guaranteed Check,3247.5,-622.55,,
7/27/2015,58000772,Guaranteed Check,7826.76,7204.21,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1.67,7202.54,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-111.76,7090.78,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-590.04,6500.74,,
7/27/2015,,Wire Out EFS (Coop),-2000,4500.74,,
7/27/2015,,Daily Ledger Bal,,4500.74,,
7/28/2015,,ACH Deposit EXT TRF ONLINE,5217,9717.74,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-79714.65,-69996.91,,
7/28/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-2000,-71996.91,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,79714.65,7717.74,,
7/28/2015,,Daily Ledger Bal,,7717.74,,
7/29/2015,7497810515,Guaranteed Check,20000,27717.74,,
7/29/2015,,IB Debit IB TR TO ACCT *9315 Transfer Online from,-5000,22717.74,,
7/29/2015,,Daily Ledger Bal,,22717.74,,
7/30/2015,58001284,Guaranteed Check,5168.25,27885.99,,
7/30/2015,58001283,Guaranteed Check,6832.9,34718.89,,
7/30/2015,,IB Debit IB TR TO ACCT *9315 Transfer Online from,-10000,24718.89,,
7/30/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-12000,12718.89,,
7/30/2015,,Daily Ledger Bal,,12718.89,,
7/31/2015,7497814575,Guaranteed Check,10000,22718.89,,
7/31/2015,7497812711,Guaranteed Check,10000,32718.89,,
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-48041.5,-15322.61,,
7/31/2015,,Accr Earning Pymt Added to Account,1.67,-15320.94,,
7/31/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,-15362.44,,
7/31/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-6000,-21362.44,,
7/31/2015,,Wire Out EFS (Coop),-15000,-36362.44,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,48041.5,11679.06,,
7/31/2015,,Fee Charge Over Limit Fee Auto,-15,11664.06,,
7/31/2015,,Fee Payment Over Limit Fee,15,11679.06,,
7/31/2015,,Daily Over Limit Over Limit Fee,-15,11664.06,,
7/31/2015,,Daily Ledger Bal,,11664.06,,
8/3/2015,,Memo Post Dep 0 8000 TCH MoneyCode - -PROD1452754,4232.5,15896.56,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-117.2,15779.36,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-610.52,15168.84,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-1.74,15167.1,,
