Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/21/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1000,3162.19,,
7/21/2015,,Alliance Payoff MMA to LOC Sweep,-3763.12,-600.93,,
7/21/2015,,Alliance Payoff LOC to MMA Sweep,3763.12,3162.19,,
7/21/2015,,Daily Ledger Bal,,3162.19,,
7/22/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4.03,3158.16,,
7/22/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-833.07,2325.09,,
7/22/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1364.03,961.06,,
7/22/2015,,Daily Ledger Bal,,961.06,,
7/23/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,20000,20961.06,,
7/23/2015,,Daily Ledger Bal,,20961.06,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1000,21961.06,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2200,24161.06,,
7/24/2015,,IB Debit IB TR TO ACCT *0817 Transfer Online from,-1000,23161.06,,
7/24/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,23119.56,,
7/24/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-20000,3119.56,,
7/24/2015,,Daily Ledger Bal,,3119.56,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4,3115.56,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-306,2809.56,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1847,962.56,,
7/27/2015,,Daily Ledger Bal,,962.56,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-25399.63,-24437.07,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,25399.63,962.56,,
7/28/2015,,Daily Ledger Bal,,962.56,,
7/30/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,12000,12962.56,,
7/30/2015,,Daily Ledger Bal,,12962.56,,
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-12083,879.56,,
7/31/2015,,Accr Earning Pymt Added to Account,0.95,880.51,,
7/31/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-83,797.51,,
7/31/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-12000,-11202.49,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,12083,880.51,,
7/31/2015,,Daily Ledger Bal,,880.51,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-306,574.51,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-1847,-1272.49,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-4,-1276.49,,
