Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/11/2015,,Alliance Payoff MMA to LOC Sweep,-20324,-17424.49,,
8/11/2015,,Alliance Payoff LOC to MMA Sweep,20324,2899.51,,
8/11/2015,,Daily Ledger Bal,,2899.51,,
8/12/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,5000,7899.51,,
8/12/2015,,ACH Withdrawal HARLAND CLARKE CHK ORDERS,-20.85,7878.66,,
8/12/2015,,ACH Withdrawal HARLAND CLARKE CHK ORDERS,-20.85,7857.81,,
8/12/2015,,Daily Ledger Bal,,7857.81,,
8/13/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2500,10357.81,,
8/13/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,10000,20357.81,,
8/13/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-5000,15357.81,,
8/13/2015,,Wire Out Idealease El Paso,-2361.04,12996.77,,
8/13/2015,,Daily Ledger Bal,,12996.77,,
8/14/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2200,15196.77,,
8/14/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-10000,5196.77,,
8/16/2015,,Analysis Charge 07 2015 Charge,-11.71,5185.06,,
8/16/2015,,Daily Ledger Bal,,5185.06,,
8/17/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,850,6035.06,,
8/17/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2400,8435.06,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4,8431.06,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-306,8125.06,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1847,6278.06,,
8/17/2015,,Wire Out Idealease El Paso,-2348.7,3929.36,,
8/17/2015,,Daily Ledger Bal,,3929.36,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-22720.15,-18790.79,,
8/18/2015,1,Check,-800,-19590.79,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,22720.15,3129.36,,
8/18/2015,,Daily Ledger Bal,,3129.36,,
8/20/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,12001,15130.36,,
8/20/2015,,Daily Ledger Bal,,15130.36,,
8/21/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2200,17330.36,,
8/21/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,17288.86,,
8/21/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-12000,5288.86,,
8/21/2015,,Daily Ledger Bal,,5288.86,,
