Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/20/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,12001,15130.36,,
8/20/2015,,Daily Ledger Bal,,15130.36,,
8/21/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2200,17330.36,,
8/21/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,17288.86,,
8/21/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-12000,5288.86,,
8/21/2015,,Daily Ledger Bal,,5288.86,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4,5284.86,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-306,4978.86,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1847,3131.86,,
8/24/2015,,Daily Ledger Bal,,3131.86,,
8/25/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,999,4130.86,,
8/25/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,15001,19131.86,,
8/25/2015,,Alliance Payoff MMA to LOC Sweep,-17136.57,1995.29,,
8/25/2015,2,Check,-800,1195.29,,
8/25/2015,,Wire Out Idealease El Paso,-2138.07,-942.78,,
8/25/2015,,Alliance Payoff LOC to MMA Sweep,17136.57,16193.79,,
8/25/2015,,Daily Ledger Bal,,16193.79,,
