Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/23/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1000,1931.69,,
7/23/2015,,Daily Ledger Bal,,1931.69,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,3931.69,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3000,6931.69,,
7/24/2015,,Daily Ledger Bal,,6931.69,,
7/27/2015,,Other Withdrawal ADP PAYROLL FEES ADP - FEES,-64.55,6867.14,,
7/27/2015,,Other Withdrawal EXT TRF ONLINE,-1924.8,4942.34,,
7/27/2015,,Daily Ledger Bal,,4942.34,,
7/28/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,6942.34,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-5510.82,1431.52,,
7/28/2015,,IB Debit IB TR TO ACCT *0817 Transfer Online from,-600,831.52,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,5510.82,3420.87,,
7/28/2015,,Daily Ledger Bal,,3420.87,,
7/30/2015,,ACH Deposit GOOGLE TEST 000527455 CREDIT,0.12,3420.99,,
7/30/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-190.29,3230.7,,
7/30/2015,,Daily Ledger Bal,,3230.7,,
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-890.29,2340.41,,
7/31/2015,,Accr Earning Pymt Added to Account,0.74,2341.15,,
7/31/2015,,IB Debit IB TR TO ACCT *0817 Transfer Online from,-700,1641.15,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,890.29,2531.44,,
7/31/2015,,Fee Charge Over Limit Fee Auto,-21.5,2509.94,,
7/31/2015,,Fee Payment Over Limit Fee,21.5,2531.44,,
7/31/2015,,Daily Over Limit Over Limit Fee,-21.5,2509.94,,
7/31/2015,,Daily Ledger Bal,,2509.94,,
7/31/2015,, IB TRANSFER TO *4233,-1357.95,1151.99,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-495.53,656.46,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-2055.13,-1398.67,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-6.08,-1404.75,,
