"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
07/27/2015,,"Other Withdrawal ADP PAYROLL FEES ADP - FEES",-64.55,6867.14,,
07/27/2015,,"Other Withdrawal EXT TRF ONLINE",-1924.8,4942.34,,
07/27/2015,,"Daily Ledger Bal",,4942.34,,
07/28/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2000,6942.34,,
07/28/2015,,"Alliance Payoff MMA to LOC Sweep",-5510.82,1431.52,,
07/28/2015,,"IB Debit IB TR TO ACCT *0817 Transfer Online from",-600,831.52,,
07/28/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-6.93,824.59,,
07/28/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-604.5,220.09,,
07/28/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-2310.04,-2089.95,,
07/28/2015,,"Alliance Payoff LOC to MMA Sweep",5510.82,3420.87,,
07/28/2015,,"Daily Ledger Bal",,3420.87,,
07/30/2015,,"ACH Deposit GOOGLE TEST 000527455 CREDIT",.12,3420.99,,
07/30/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-190.29,3230.70,,
07/30/2015,,"Daily Ledger Bal",,3230.7,,
07/31/2015,,"Alliance Payoff MMA to LOC Sweep",-890.29,2340.41,,
07/31/2015,,"Accr Earning Pymt Added to Account",.74,2341.15,,
07/31/2015,,"IB Debit IB TR TO ACCT *0817 Transfer Online from",-700,1641.15,,
07/31/2015,,"Alliance Payoff LOC to MMA Sweep",890.29,2531.44,,
07/31/2015,,"Fee Charge Over Limit Fee Auto",-21.5,2509.94,,
07/31/2015,,"Fee Payment Over Limit Fee",21.5,2531.44,,
07/31/2015,,"Daily Over Limit Over Limit Fee",-21.5,2509.94,,
07/31/2015,,"Daily Ledger Bal",,2509.94,,
08/03/2015,,"Other Withdrawal ADP PAYROLL FEES ADP - FEES",-64.55,2445.39,,
08/03/2015,,"Other Withdrawal EXT TRF ONLINE",-1357.95,1087.44,,
08/03/2015,,"Daily Ledger Bal",,1087.44,,
08/04/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2000,3087.44,,
08/04/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2000,5087.44,,
08/04/2015,,"Alliance Payoff MMA to LOC Sweep",-6000.74,-913.30,,
08/04/2015,,"Wire Out Garrett Barber",-2000,-2913.30,,
08/04/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-6.08,-2919.38,,
08/04/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-495.53,-3414.91,,
08/04/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-2055.13,-5470.04,,
08/04/2015,,"Alliance Payoff LOC to MMA Sweep",6000.74,530.70,,
08/04/2015,,"Daily Ledger Bal",,530.7,,
08/05/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2000,2530.70,,
08/05/2015,,"Other Withdrawal GOOGLE WALLET 000528101 DEBIT",-11,2519.70,,
08/05/2015,,"Daily Ledger Bal",,2519.7,,
08/06/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",1500,4019.70,,
08/06/2015,,"Daily Ledger Bal",,4019.7,,
08/07/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2500,6519.70,,
08/07/2015,,"Other Withdrawal GOOGLE WALLET 000528299 DEBIT",-45,6474.70,,
08/07/2015,,"Other Withdrawal EXT TRF ONLINE",-1363,5111.70,,
08/07/2015,,"Other Withdrawal CAPITAL ONE ONLINE PMT",-2000,3111.70,,
08/07/2015,,"Daily Ledger Bal",,3111.7,,
08/10/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2000,5111.70,,
08/10/2015,,"Wire Out Garrett Barber",-1973.56,3138.14,,
08/10/2015,,"Other Withdrawal GOOGLE WALLET 000528429 DEBIT",-30,3108.14,,
08/10/2015,,"Other Withdrawal ADP PAYROLL FEES ADP - FEES",-129.1,2979.04,,
08/10/2015,,"Daily Ledger Bal",,2979.04,,
08/11/2015,,"Alliance Payoff MMA to LOC Sweep",-8000.87,-5021.83,,
08/11/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-5.56,-5027.39,,
08/11/2015,,"Other Withdrawal GOOGLE WALLET 000528550 DEBIT",-110,-5137.39,,
08/11/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-449.12,-5586.51,,
08/11/2015,,"Other Withdrawal ADP TX/FINCL SVC ADP - TAX",-1884.53,-7471.04,,
08/11/2015,,"Alliance Payoff LOC to MMA Sweep",8000.87,529.83,,
08/11/2015,,"Daily Ledger Bal",,529.83,,
08/12/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",3000,3529.83,,
08/12/2015,,"Other Withdrawal GOOGLE WALLET 000528894 DEBIT",-20,3509.83,,
08/12/2015,,"Other Withdrawal GOOGLE WALLET 000528894 DEBIT",-34,3475.83,,
08/12/2015,,"Other Withdrawal GOOGLE WALLET 000528894 DEBIT",-40,3435.83,,
08/12/2015,,"Other Withdrawal GOOGLE WALLET 000528894 DEBIT",-80,3355.83,,
08/12/2015,,"Daily Ledger Bal",,3355.83,,
08/13/2015,,"Other Withdrawal GOOGLE WALLET 000529022 DEBIT",-20,3335.83,,
08/13/2015,,"Other Withdrawal HARLAND CLARKE CHK ORDERS",-20.85,3314.98,,
08/13/2015,,"Daily Ledger Bal",,3314.98,,
08/14/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",3200,6514.98,,
08/14/2015,,"Other Withdrawal GOOGLE WALLET 000529121 DEBIT",-10,6504.98,,
08/14/2015,,"Other Withdrawal GOOGLE WALLET 000529121 DEBIT",-20,6484.98,,
