Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/22/2015,,IB Debit IB TR TO ACCT *0817 Transfer Online from,-1000,2389.53,,
7/22/2015,,Daily Ledger Bal,,2389.53,,
7/23/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1000,3389.53,,
7/23/2015,,Daily Ledger Bal,,3389.53,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,9200,12589.53,,
7/24/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-56.75,12532.78,,
7/24/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-1000,11532.78,,
7/24/2015,,Daily Ledger Bal,,11532.78,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-16.91,11515.87,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-2902.1,8613.77,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-6268.52,2345.25,,
7/27/2015,,Daily Ledger Bal,,2345.25,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-11244.28,-8899.03,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,11244.28,2345.25,,
7/28/2015,,Daily Ledger Bal,,2345.25,,
7/29/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-244.84,2100.41,,
7/29/2015,,Daily Ledger Bal,,2100.41,,
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-301.59,1798.82,,
7/31/2015,,Accr Earning Pymt Added to Account,1.21,1800.03,,
7/31/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-56.75,1743.28,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,301.59,2044.87,,
7/31/2015,,Daily Ledger Bal,,2044.87,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-1036.36,1008.51,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-3266.24,-2257.73,,
8/3/2015,,ACH Payment ADP TX/FINCL SVC ADP - TAX,-7.9,-2265.63,,
