Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/22/2015,,IB Debit IB TR TO ACCT *0817 Transfer Online from,-1000,2389.53,,
7/22/2015,,Daily Ledger Bal,,2389.53,,
7/23/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1000,3389.53,,
7/23/2015,,Daily Ledger Bal,,3389.53,,
7/24/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,9200,12589.53,,
7/24/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-56.75,12532.78,,
7/24/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-1000,11532.78,,
7/24/2015,,Daily Ledger Bal,,11532.78,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-16.91,11515.87,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-2902.1,8613.77,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-6268.52,2345.25,,
7/27/2015,,Daily Ledger Bal,,2345.25,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-11244.28,-8899.03,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,11244.28,2345.25,,
7/28/2015,,Daily Ledger Bal,,2345.25,,
7/29/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-244.84,2100.41,,
7/29/2015,,Daily Ledger Bal,,2100.41,,
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-301.59,1798.82,,
7/31/2015,,Accr Earning Pymt Added to Account,1.21,1800.03,,
7/31/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-56.75,1743.28,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,301.59,2044.87,,
7/31/2015,,Daily Ledger Bal,,2044.87,,
8/3/2015,,Daily Ledger Bal,,-2265.63,,
8/4/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2500,3500.61,,
8/4/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3500,7000.61,,
8/4/2015,,Alliance Payoff MMA to LOC Sweep,-4310.5,2690.11,,
8/4/2015,,Alliance Payoff LOC to MMA Sweep,4310.5,3734.37,,
8/4/2015,,Daily Ledger Bal,,3734.37,,
8/7/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,4500,8234.37,,
8/7/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,6000,14234.37,,
8/7/2015,,IB Debit IB TR TO ACCT *0817 Transfer Online from,-6000,8234.37,,
8/7/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-116.52,8117.85,,
8/7/2015,,Daily Ledger Bal,,8117.85,,
8/10/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-7.52,8110.33,,
8/10/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1000.54,7109.79,,
8/10/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-3101.61,4008.18,,
8/10/2015,,Daily Ledger Bal,,4008.18,,
8/11/2015,,Alliance Payoff MMA to LOC Sweep,-10226.19,-6218.01,,
8/11/2015,,Alliance Payoff LOC to MMA Sweep,10226.19,4008.18,,
8/11/2015,,Daily Ledger Bal,,4008.18,,
8/12/2015,,ACH Withdrawal HARLAND CLARKE CHK ORDERS,-20.85,3987.33,,
8/12/2015,,Daily Ledger Bal,,3987.33,,
8/14/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,5600,9587.33,,
8/16/2015,,Analysis Charge 07 2015 Charge,-11.45,9575.88,,
8/16/2015,,Daily Ledger Bal,,9575.88,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-10.23,9565.65,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1473.19,8092.46,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4070.19,4022.27,,
8/17/2015,,Daily Ledger Bal,,4022.27,,
