"Date","No.","Description","Debit","Credit"
"7/18/2015","0794","MAIN TIRE AND SERVICE SALT LAKE CIT UT 84104 US","897.97",""
"7/18/2015","0794","MAIN TIRE AND SERVICE SALT LAKE CIT UT 84104 US","2218.91",""
"7/18/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","7223.97",""
"7/21/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1034.39",""
"7/21/2015","2150","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","1911.01",""
"7/22/2015","0794","THE HOME DEPOT 4407 LINDON UT 84042 US","43.49",""
"7/23/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 23-JUL","","20000.00"
"7/24/2015","6424","IN *GLOBAL TRACKING COMMU 951-6747451 CA 92590 US","40.00",""
"7/25/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","7659.74",""
"7/27/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","993.14",""
